FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,913.000,.003,987.000,1900.003,1920.000
14406.25001000,840.000,.002,992.000,1832.002,1850.000
14406.25001000,825.000,.002,954.000,1779.002,1797.000
14406.25001000,827.000,.002,1018.000,1845.002,1861.000
14406.25001000,832.000,.003,983.000,1815.003,1832.000
14406.25001000,856.000,.003,971.000,1827.003,1845.000
14406.25001000,831.000,.003,947.000,1778.003,1797.000
14406.25001000,835.000,.003,944.000,1779.003,1796.000
14406.25001000,816.000,.002,1478.000,2294.002,2311.000
14406.25001000,830.000,.002,1006.000,1836.002,1852.000
14406.25001000,816.000,.002,957.000,1773.002,1789.000
14406.25001000,813.000,.003,971.000,1784.003,1803.000
14406.25001000,822.000,.002,1061.000,1883.002,1902.000
14406.25001000,816.000,.002,917.000,1733.002,1750.000
14406.25001000,825.000,.003,1004.000,1829.003,1845.000
14406.25001000,837.000,.002,902.000,1739.002,1755.000
14406.25001000,841.000,.002,938.000,1779.002,1798.000
14406.25001000,834.000,.002,944.000,1778.002,1797.000
14406.25001000,822.000,.002,957.000,1779.002,1796.000
14406.25001000,817.000,.003,1023.000,1840.003,1857.000
14406.25001000,844.000,.002,1000.000,1844.002,1861.000
14406.25001000,813.000,.002,1007.000,1820.002,1837.000
14406.25001000,829.000,.002,955.000,1784.002,1802.000
14406.25001000,835.000,.002,908.000,1743.002,1761.000
14406.25001000,835.000,.002,935.000,1770.002,1787.000
14406.25001000,847.000,.002,991.000,1838.002,1854.000
14406.25001000,801.000,.003,925.000,1726.003,1745.000
14406.25001000,814.000,.003,1033.000,1847.003,1865.000
14406.25001000,849.000,.002,968.000,1817.002,1834.000
14406.25001000,848.000,.002,967.000,1815.002,1832.000
14406.25001000,823.000,.003,949.000,1772.003,1792.000
14406.25001000,862.000,.001,1013.000,1875.001,1890.000
14406.25001000,797.000,.002,1002.000,1799.002,1816.000
14406.25001000,822.000,.003,935.000,1757.003,1773.000
14406.25001000,814.000,.002,968.000,1782.002,1798.000
14406.25001000,852.000,.002,960.000,1812.002,1830.000
14406.25001000,847.000,.003,1.000,848.003,868.000
14406.25001000,841.000,.002,967.000,1808.002,1824.000
14406.25001000,822.000,.003,999.000,1821.003,1839.000
14406.25001000,829.000,.003,1008.000,1837.003,1856.000
14406.25001000,871.000,.001,894.000,1765.001,1781.000
14406.25001000,826.000,.002,1012.000,1838.002,1855.000
14406.25001000,838.000,.003,1012.000,1850.003,1869.000
14406.25001000,831.000,.002,954.000,1785.002,1803.000
14406.25001000,828.000,.003,978.000,1806.003,1828.000
14406.25001000,826.000,.002,999.000,1825.002,1842.000
14406.25001000,850.000,.003,958.000,1808.003,1825.000
14406.25001000,831.000,.006,980.000,1811.006,1832.000
14406.25001000,835.000,.003,1014.000,1849.003,1867.000
14406.25001000,837.000,.002,1024.000,1861.002,1880.000
14406.25001000,842.000,.002,947.000,1789.002,1807.000
14406.25001000,840.000,.003,993.000,1833.003,1850.000
14406.25001000,834.000,.002,994.000,1828.002,1843.000
14406.25001000,831.000,.003,944.000,1775.003,1793.000
14406.25001000,811.000,.003,1005.000,1816.003,1833.000
14406.25001000,830.000,.002,980.000,1810.002,1828.000
14406.25001000,821.000,.003,1006.000,1827.003,1845.000
14406.25001000,833.000,.002,947.000,1780.002,1795.000
14406.25001000,820.000,.002,989.000,1809.002,1826.000
14406.25001000,820.000,.002,999.000,1819.002,1835.000
14406.25001000,807.000,.002,1036.000,1843.002,1861.000
14406.25001000,841.000,.002,977.000,1818.002,1835.000
14406.25001000,822.000,.002,1001.000,1823.002,1840.000
14406.25001000,852.000,.002,952.000,1804.002,1820.000
14406.25001000,821.000,.002,1.000,822.002,840.000
14406.25001000,835.000,.003,1002.000,1837.003,1855.000
14406.25001000,839.000,.002,955.000,1794.002,1811.000
14406.25001000,820.000,.002,944.000,1764.002,1781.000
14406.25001000,824.000,.003,953.000,1777.003,1794.000
14406.25001000,821.000,.002,986.000,1807.002,1824.000
14406.25001000,824.000,.003,990.000,1814.003,1833.000
14406.25001000,816.000,.002,1069.000,1885.002,1903.000
14406.25001000,836.000,.002,994.000,1830.002,1847.000
14406.25001000,835.000,.002,947.000,1782.002,1800.000
14406.25001000,829.000,.002,943.000,1772.002,1790.000
14406.25001000,812.000,.003,999.000,1811.003,1828.000
14406.25001000,826.000,.003,955.000,1781.003,1798.000
14406.25001000,836.000,.003,977.000,1813.003,1832.000
14406.25001000,835.000,.002,1058.000,1893.002,1911.000
14406.25001000,847.000,.003,1024.000,1871.003,1887.000
14406.25001000,801.000,.002,1027.000,1828.002,1844.000
14406.25001000,816.000,.002,965.000,1781.002,1797.000
14406.25001000,835.000,.003,951.000,1786.003,1802.000
14406.25001000,829.000,.002,955.000,1784.002,1801.000
14406.25001000,820.000,.002,952.000,1772.002,1789.000
14406.25001000,835.000,.002,1007.000,1842.002,1860.000
14406.25001000,838.000,.002,1013.000,1851.002,1868.000
14406.25001000,825.000,.002,952.000,1777.002,1794.000
14406.25001000,837.000,.002,960.000,1797.002,1813.000
14406.25001000,843.000,.002,965.000,1808.002,1825.000
14406.25001000,828.000,.002,1064.000,1892.002,1912.000
14406.25001000,823.000,.003,990.000,1813.003,1830.000
14406.25001000,832.000,.002,950.000,1782.002,1802.000
14406.25001000,809.000,.002,1000.000,1809.002,1825.000
14406.25001000,819.000,.003,933.000,1752.003,1770.000
14406.25001000,831.000,.003,954.000,1785.003,1804.000
14406.25001000,817.000,.002,1017.000,1834.002,1852.000
14406.25001000,831.000,.002,1020.000,1851.002,1867.000
14406.25001000,818.000,.002,945.000,1763.002,1780.000
14406.25001000,825.000,.003,967.000,1792.003,1811.000
14406.25001000,835.000,.002,944.000,1779.002,1794.000
14406.25001000,807.000,.003,997.000,1804.003,1821.000
14406.25001000,817.000,.002,949.000,1766.002,1781.000
14406.25001000,835.000,.003,967.000,1802.003,1821.000
14406.25001000,830.000,.002,946.000,1776.002,1793.000
14406.25001000,851.000,.002,967.000,1818.002,1835.000
14406.25001000,805.000,.002,974.000,1779.002,1796.000
14406.25001000,843.000,.003,1006.000,1849.003,1866.000
14406.25001000,818.000,.003,951.000,1769.003,1788.000
14406.25001000,833.000,.002,1.000,834.002,854.000
14406.25001000,822.000,.002,901.000,1723.002,1739.000
14406.25001000,800.000,.002,1033.000,1833.002,1853.000
14406.25001000,807.000,.002,1077.000,1884.002,1902.000
14406.25001000,819.000,.002,1059.000,1878.002,1894.000
14406.25001000,824.000,.003,962.000,1786.003,1805.000
14406.25001000,817.000,.001,954.000,1771.001,1789.000
14406.25001000,808.000,.002,977.000,1785.002,1801.000
14406.25001000,828.000,.003,1004.000,1832.003,1851.000
14406.25001000,822.000,.002,972.000,1794.002,1811.000
14406.25001000,850.000,.003,1015.000,1865.003,1884.000
14406.25001000,832.000,.002,1003.000,1835.002,1851.000
14406.25001000,833.000,.005,1.000,834.005,853.000
14406.25001000,845.000,.003,916.000,1761.003,1780.000
14406.25001000,813.000,.002,1027.000,1840.002,1858.000
14406.25001000,832.000,.002,993.000,1825.002,1842.000
14406.25001000,833.000,.003,958.000,1791.003,1809.000
14406.25001000,834.000,.002,968.000,1802.002,1819.000
14406.25001000,839.000,.003,1074.000,1913.003,1930.000
14406.25001000,811.000,.003,1017.000,1828.003,1845.000
14406.25001000,815.000,.002,1019.000,1834.002,1853.000
14406.25001000,835.000,.003,1016.000,1851.003,1868.000
14406.25001000,825.000,.003,939.000,1764.003,1782.000
14406.25001000,841.000,.003,993.000,1834.003,1852.000
14406.25001000,846.000,.003,1032.000,1878.003,1894.000
14406.25001000,820.000,.002,966.000,1786.002,1804.000
14406.25001000,830.000,.002,1043.000,1873.002,1892.000
14406.25001000,865.000,.002,1037.000,1902.002,1919.000
14406.25001000,868.000,.003,1066.000,1934.003,1954.000
14406.25001000,908.000,.002,1164.000,2072.002,2157.000
14406.25001000,29721.000,.076,4400.000,34121.076,34288.000
14406.25001000,858.000,.002,1039.000,1897.002,1915.000
14406.25001000,746.000,.005,996.000,1742.005,1764.000
14406.25001000,888.000,.003,1473.000,2361.003,2381.000
14406.25001000,844.000,.005,1030.000,1874.005,1893.000
