FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,8807.000,.003,1078.000,9885.003,9907.000
14406.25001000,835.000,.002,992.000,1827.002,1843.000
14406.25001000,830.000,.002,1015.000,1845.002,1864.000
14406.25001000,821.000,.002,1007.000,1828.002,1845.000
14406.25001000,830.000,.002,956.000,1786.002,1805.000
14406.25001000,831.000,.002,943.000,1774.002,1791.000
14406.25001000,821.000,.002,982.000,1803.002,1823.000
14406.25001000,847.000,.002,1070.000,1917.002,1936.000
14406.25001000,821.000,.003,1003.000,1824.003,1844.000
14406.25001000,843.000,.002,947.000,1790.002,1807.000
14406.25001000,824.000,.002,944.000,1768.002,1784.000
14406.25001000,840.000,.002,938.000,1778.002,1795.000
14406.25001000,819.000,.002,1035.000,1854.002,1872.000
14406.25001000,827.000,.002,1002.000,1829.002,1847.000
14406.25001000,819.000,.002,1020.000,1839.002,1857.000
14406.25001000,823.000,.003,1018.000,1841.003,1860.000
14406.25001000,862.000,.002,1049.000,1911.002,1931.000
14406.25001000,818.000,.003,1065.000,1883.003,1901.000
14406.25001000,837.000,.002,1015.000,1852.002,1870.000
14406.25001000,827.000,.002,983.000,1810.002,1828.000
14406.25001000,827.000,.002,1694.000,2521.002,2539.000
14406.25001000,829.000,.002,958.000,1787.002,1805.000
14406.25001000,858.000,.002,982.000,1840.002,1858.000
14406.25001000,814.000,.003,1019.000,1833.003,1853.000
14406.25001000,841.000,.002,933.000,1774.002,1791.000
14406.25001000,829.000,.002,954.000,1783.002,1801.000
14406.25001000,821.000,.002,963.000,1784.002,1802.000
14406.25001000,855.000,.003,983.000,1838.003,1857.000
14406.25001000,845.000,.002,1037.000,1882.002,1897.000
14406.25001000,833.000,.003,1009.000,1842.003,1858.000
14406.25001000,837.000,.003,1539.000,2376.003,2394.000
14406.25001000,830.000,.003,958.000,1788.003,1815.000
14406.25001000,819.000,.002,970.000,1789.002,1807.000
14406.25001000,834.000,.002,1083.000,1917.002,1935.000
14406.25001000,835.000,.002,1011.000,1846.002,1864.000
14406.25001000,833.000,.002,978.000,1811.002,1829.000
14406.25001000,821.000,.002,1.000,822.002,839.000
14406.25001000,848.000,.002,960.000,1808.002,1825.000
14406.25001000,832.000,.002,984.000,1816.002,1833.000
14406.25001000,830.000,.002,996.000,1826.002,1844.000
14406.25001000,821.000,.002,1012.000,1833.002,1851.000
14406.25001000,925.000,.002,994.000,1919.002,1935.000
14406.25001000,816.000,.003,1024.000,1840.003,1857.000
14406.25001000,853.000,.003,987.000,1840.003,1857.000
14406.25001000,865.000,.002,963.000,1828.002,1847.000
14406.25001000,845.000,.002,1045.000,1890.002,1907.000
14406.25001000,818.000,.002,1030.000,1848.002,1866.000
14406.25001000,850.000,.002,1003.000,1853.002,1870.000
14406.25001000,835.000,.002,948.000,1783.002,1799.000
14406.25001000,829.000,.002,952.000,1781.002,1797.000
14406.25001000,813.000,.003,1025.000,1838.003,1855.000
14406.25001000,817.000,.003,940.000,1757.003,1774.000
14406.25001000,834.000,.003,978.000,1812.003,1832.000
14406.25001000,841.000,.003,1002.000,1843.003,1862.000
14406.25001000,827.000,.003,955.000,1782.003,1800.000
14406.25001000,825.000,.002,936.000,1761.002,1780.000
14406.25001000,830.000,.003,952.000,1782.003,1801.000
14406.25001000,836.000,.003,941.000,1777.003,1796.000
14406.25001000,848.000,.002,934.000,1782.002,1798.000
14406.25001000,808.000,.002,1008.000,1816.002,1835.000
14406.25001000,836.000,.002,975.000,1811.002,1833.000
14406.25001000,834.000,.003,992.000,1826.003,1844.000
14406.25001000,829.000,.002,946.000,1775.002,1792.000
14406.25001000,797.000,.003,992.000,1789.003,1808.000
14406.25001000,822.000,.003,1.000,823.003,844.000
14406.25001000,842.000,.002,986.000,1828.002,1846.000
14406.25001000,826.000,.002,954.000,1780.002,1798.000
14406.25001000,822.000,.003,956.000,1778.003,1797.000
14406.25001000,830.000,.003,1008.000,1838.003,1855.000
14406.25001000,820.000,.002,1064.000,1884.002,1901.000
14406.25001000,821.000,.003,1000.000,1821.003,1838.000
14406.25001000,831.000,.003,1017.000,1848.003,1865.000
14406.25001000,820.000,.002,1006.000,1826.002,1844.000
14406.25001000,812.000,.002,1027.000,1839.002,1857.000
14406.25001000,829.000,.002,990.000,1819.002,1837.000
14406.25001000,820.000,.002,1024.000,1844.002,1860.000
14406.25001000,838.000,.002,1003.000,1841.002,1859.000
14406.25001000,835.000,.003,953.000,1788.003,1805.000
