FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,12173.000,.028,1174.000,13347.028,13393.000
14406.25001000,837.000,.002,1042.000,1879.002,1898.000
14406.25001000,858.000,.003,964.000,1822.003,1837.000
14406.25001000,945.000,.002,951.000,1896.002,1915.000
14406.25001000,844.000,.002,963.000,1807.002,1826.000
14406.25001000,864.000,.003,1047.000,1911.003,1935.000
14406.25001000,826.000,.007,1036.000,1862.007,1887.000
14406.25001000,845.000,.002,1040.000,1885.002,1905.000
14406.25001000,923.000,.003,1418.000,2341.003,2361.000
14406.25001000,835.000,.002,1032.000,1867.002,1885.000
14406.25001000,839.000,.002,959.000,1798.002,1815.000
14406.25001000,848.000,.003,969.000,1817.003,1837.000
14406.25001000,830.000,.003,1002.000,1832.003,1851.000
14406.25001000,850.000,.002,1027.000,1877.002,1894.000
14406.25001000,843.000,.003,990.000,1833.003,1853.000
14406.25001000,834.000,.003,985.000,1819.003,1847.000
14406.25001000,823.000,.003,1010.000,1833.003,1851.000
14406.25001000,846.000,.005,1005.000,1851.005,1872.000
14406.25001000,831.000,.003,1013.000,1844.003,1862.000
14406.25001000,849.000,.002,991.000,1840.002,1857.000
14406.25001000,833.000,.002,1016.000,1849.002,1866.000
14406.25001000,828.000,.002,950.000,1778.002,1798.000
14406.25001000,837.000,.002,980.000,1817.002,1836.000
14406.25001000,820.000,.002,996.000,1816.002,1835.000
14406.25001000,829.000,.003,952.000,1781.003,1802.000
14406.25001000,820.000,.003,961.000,1781.003,1801.000
14406.25001000,832.000,.003,944.000,1776.003,1794.000
14406.25001000,833.000,.004,957.000,1790.004,1811.000
14406.25001000,828.000,.003,963.000,1791.003,1812.000
14406.25001000,830.000,.002,933.000,1763.002,1784.000
14406.25001000,853.000,.002,1072.000,1925.002,1949.000
14406.25001000,821.000,.005,1003.000,1824.005,1848.000
14406.25001000,833.000,.003,945.000,1778.003,1797.000
14406.25001000,853.000,.002,1041.000,1894.002,1912.000
14406.25001000,849.000,.002,1031.000,1880.002,1897.000
14406.25001000,818.000,.002,961.000,1779.002,1799.000
14406.25001000,858.000,.002,2.000,860.002,878.000
14406.25001000,834.000,.003,948.000,1782.003,1802.000
14406.25001000,832.000,.002,936.000,1768.002,1785.000
14406.25001000,823.000,.003,1019.000,1842.003,1859.000
14406.25001000,849.000,.002,987.000,1836.002,1853.000
14406.25001000,841.000,.005,976.000,1817.005,1837.000
14406.25001000,860.000,.001,1001.000,1861.001,1878.000
14406.25001000,781.000,.002,1028.000,1809.002,1828.000
14406.25001000,801.000,.003,927.000,1728.003,1747.000
14406.25001000,821.000,.003,950.000,1771.003,1792.000
14406.25001000,813.000,.004,1020.000,1833.004,1852.000
14406.25001000,840.000,.002,1013.000,1853.002,1871.000
14406.25001000,837.000,.005,1020.000,1857.005,1879.000
14406.25001000,831.000,.003,968.000,1799.003,1817.000
14406.25001000,821.000,.005,944.000,1765.005,1785.000
14406.25001000,741.000,.004,1035.000,1776.004,1795.000
14406.25001000,826.000,.003,1057.000,1883.003,1903.000
14406.25001000,820.000,.002,1016.000,1836.002,1852.000
14406.25001000,860.000,.002,1066.000,1926.002,1949.000
14406.25001000,851.000,.002,973.000,1824.002,1844.000
14406.25001000,820.000,.002,1040.000,1860.002,1878.000
14406.25001000,838.000,.002,1008.000,1846.002,1866.000
14406.25001000,829.000,.006,978.000,1807.006,1831.000
14406.25001000,883.000,.005,973.000,1856.005,1875.000
14406.25001000,830.000,.003,948.000,1778.003,1797.000
14406.25001000,854.000,.002,977.000,1831.002,1849.000
14406.25001000,840.000,.002,999.000,1839.002,1855.000
14406.25001000,829.000,.002,934.000,1763.002,1780.000
14406.25001000,840.000,.003,2.000,842.003,861.000
14406.25001000,839.000,.003,1030.000,1869.003,1891.000
14406.25001000,826.000,.002,999.000,1825.002,1843.000
14406.25001000,849.000,.003,933.000,1782.003,1799.000
14406.25001000,847.000,.002,949.000,1796.002,1814.000
14406.25001000,823.000,.002,949.000,1772.002,1789.000
14406.25001000,828.000,.002,948.000,1776.002,1794.000
14406.25001000,820.000,.002,976.000,1796.002,1814.000
14406.25001000,823.000,.002,961.000,1784.002,1801.000
14406.25001000,824.000,.003,998.000,1822.003,1844.000
14406.25001000,841.000,.005,1029.000,1870.005,1890.000
14406.25001000,836.000,.003,1054.000,1890.003,1909.000
14406.25001000,833.000,.003,1016.000,1849.003,1869.000
14406.25001000,859.000,.002,1011.000,1870.002,1887.000
14406.25001000,830.000,.002,928.000,1758.002,1775.000
14406.25001000,818.000,.005,1026.000,1844.005,1864.000
14406.25001000,838.000,.002,1012.000,1850.002,1869.000
14406.25001000,828.000,.003,975.000,1803.003,1824.000
14406.25001000,860.000,.003,968.000,1828.003,1848.000
14406.25001000,842.000,.002,960.000,1802.002,1820.000
14406.25001000,819.000,.005,940.000,1759.005,1778.000
14406.25001000,823.000,.001,951.000,1774.001,1792.000
14406.25001000,826.000,.002,1018.000,1844.002,1863.000
14406.25001000,834.000,.006,1006.000,1840.006,1860.000
14406.25001000,827.000,.006,984.000,1811.006,1832.000
14406.25001000,817.000,.002,997.000,1814.002,1835.000
14406.25001000,836.000,.004,946.000,1782.004,1802.000
14406.25001000,828.000,.002,969.000,1797.002,1817.000
14406.25001000,820.000,.003,1099.000,1919.003,1938.000
14406.25001000,820.000,.002,994.000,1814.002,1831.000
14406.25001000,836.000,.003,947.000,1783.003,1803.000
14406.25001000,849.000,.005,992.000,1841.005,1868.000
14406.25001000,838.000,.003,1034.000,1872.003,1889.000
14406.25001000,813.000,.002,944.000,1757.002,1774.000
14406.25001000,832.000,.002,1078.000,1910.002,1930.000
14406.25001000,814.000,.002,1003.000,1817.002,1838.000
14406.25001000,817.000,.002,1019.000,1836.002,1854.000
14406.25001000,833.000,.002,1014.000,1847.002,1866.000
14406.25001000,823.000,.003,932.000,1755.003,1775.000
14406.25001000,826.000,.002,951.000,1777.002,1794.000
14406.25001000,840.000,.002,944.000,1784.002,1803.000
14406.25001000,822.000,.002,960.000,1782.002,1800.000
14406.25001000,819.000,.002,993.000,1812.002,1829.000
14406.25001000,829.000,.002,924.000,1753.002,1769.000
14406.25001000,825.000,.002,1020.000,1845.002,1862.000
14406.25001000,823.000,.003,1.000,824.003,845.000
14406.25001000,826.000,.002,942.000,1768.002,1791.000
14406.25001000,828.000,.002,956.000,1784.002,1805.000
14406.25001000,833.000,.002,947.000,1780.002,1797.000
14406.25001000,834.000,.002,943.000,1777.002,1795.000
14406.25001000,845.000,.002,1030.000,1875.002,1894.000
