FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,838.000,.002,1017.000,1855.002,1875.000
14406.25001000,840.000,.002,1041.000,1881.002,1898.000
14406.25001000,841.000,.002,1010.000,1851.002,1868.000
14406.25001000,824.000,.002,992.000,1816.002,1834.000
14406.25001000,874.000,.002,966.000,1840.002,1857.000
14406.25001000,835.000,.003,989.000,1824.003,1843.000
14406.25001000,827.000,.003,890.000,1717.003,1734.000
14406.25001000,833.000,.001,978.000,1811.001,1827.000
14406.25001000,831.000,.002,960.000,1791.002,1809.000
14406.25001000,839.000,.002,937.000,1776.002,1793.000
14406.25001000,835.000,.002,950.000,1785.002,1801.000
14406.25001000,815.000,.002,948.000,1763.002,1779.000
14406.25001000,842.000,.002,992.000,1834.002,1851.000
14406.25001000,852.000,.003,1031.000,1883.003,1900.000
14406.25001000,821.000,.002,1067.000,1888.002,1904.000
14406.25001000,807.000,.003,970.000,1777.003,1797.000
14406.25001000,827.000,.002,914.000,1741.002,1758.000
14406.25001000,818.000,.002,949.000,1767.002,1786.000
14406.25001000,848.000,.002,938.000,1786.002,1802.000
14406.25001000,831.000,.003,970.000,1801.003,1819.000
14406.25001000,818.000,.002,962.000,1780.002,1796.000
14406.25001000,830.000,.003,992.000,1822.003,1841.000
14406.25001000,824.000,.002,956.000,1780.002,1798.000
14406.25001000,841.000,.002,1003.000,1844.002,1861.000
14406.25001000,827.000,.002,934.000,1761.002,1777.000
14406.25001000,831.000,.003,1008.000,1839.003,1858.000
14406.25001000,805.000,.002,951.000,1756.002,1773.000
14406.25001000,832.000,.002,947.000,1779.002,1793.000
14406.25001000,816.000,.002,952.000,1768.002,1785.000
14406.25001000,838.000,.003,928.000,1766.003,1784.000
14406.25001000,823.000,.002,990.000,1813.002,1829.000
14406.25001000,835.000,.002,948.000,1783.002,1799.000
14406.25001000,832.000,.002,948.000,1780.002,1799.000
14406.25001000,821.000,.002,998.000,1819.002,1835.000
14406.25001000,825.000,.003,1062.000,1887.003,1905.000
14406.25001000,842.000,.001,1004.000,1846.001,1862.000
14406.25001000,860.000,.002,1.000,861.002,878.000
14406.25001000,817.000,.002,1017.000,1834.002,1852.000
14406.25001000,813.000,.003,967.000,1780.003,1797.000
14406.25001000,835.000,.002,901.000,1736.002,1753.000
14406.25001000,822.000,.002,1010.000,1832.002,1850.000
14406.25001000,830.000,.001,999.000,1829.001,1847.000
14406.25001000,836.000,.002,962.000,1798.002,1815.000
14406.25001000,830.000,.003,986.000,1816.003,1835.000
14406.25001000,743.000,.003,1043.000,1786.003,1803.000
14406.25001000,827.000,.003,994.000,1821.003,1839.000
14406.25001000,832.000,.002,963.000,1795.002,1812.000
14406.25001000,825.000,.002,958.000,1783.002,1800.000
14406.25001000,837.000,.001,945.000,1782.001,1798.000
14406.25001000,819.000,.002,1016.000,1835.002,1852.000
14406.25001000,835.000,.002,1017.000,1852.002,1869.000
14406.25001000,841.000,.003,969.000,1810.003,1828.000
14406.25001000,861.000,.002,956.000,1817.002,1834.000
14406.25001000,807.000,.002,985.000,1792.002,1808.000
14406.25001000,816.000,.002,1020.000,1836.002,1854.000
14406.25001000,839.000,.002,1000.000,1839.002,1855.000
14406.25001000,844.000,.002,990.000,1834.002,1851.000
14406.25001000,829.000,.002,953.000,1782.002,1801.000
14406.25001000,844.000,.002,1009.000,1853.002,1870.000
14406.25001000,835.000,.002,975.000,1810.002,1828.000
14406.25001000,834.000,.002,997.000,1831.002,1849.000
14406.25001000,837.000,.002,951.000,1788.002,1806.000
14406.25001000,831.000,.002,939.000,1770.002,1789.000
14406.25001000,836.000,.002,938.000,1774.002,1794.000
14406.25001000,819.000,.002,1.000,820.002,842.000
14406.25001000,858.000,.002,1035.000,1893.002,1909.000
14406.25001000,828.000,.002,993.000,1821.002,1838.000
14406.25001000,839.000,.002,946.000,1785.002,1802.000
14406.25001000,828.000,.002,1015.000,1843.002,1860.000
14406.25001000,823.000,.001,964.000,1787.001,1804.000
14406.25001000,841.000,.003,991.000,1832.003,1850.000
14406.25001000,825.000,.002,852.000,1677.002,1694.000
14406.25001000,832.000,.002,1000.000,1832.002,1849.000
14406.25001000,834.000,.003,998.000,1832.003,1850.000
14406.25001000,810.000,.002,965.000,1775.002,1791.000
14406.25001000,849.000,.002,942.000,1791.002,1809.000
14406.25001000,847.000,.002,981.000,1828.002,1844.000
14406.25001000,835.000,.002,1001.000,1836.002,1853.000
14406.25001000,836.000,.003,940.000,1776.003,1793.000
14406.25001000,836.000,.003,1006.000,1842.003,1859.000
14406.25001000,830.000,.003,999.000,1829.003,1846.000
14406.25001000,819.000,.002,993.000,1812.002,1830.000
14406.25001000,872.000,.002,1053.000,1925.002,1944.000
14406.25001000,878.000,.022,1018.000,1896.022,1932.000
14406.25001000,838.000,.002,1084.000,1922.002,1939.000
14406.25001000,833.000,.003,1020.000,1853.003,1871.000
14406.25001000,848.000,.002,967.000,1815.002,1833.000
14406.25001000,813.000,.002,1006.000,1819.002,1836.000
14406.25001000,817.000,.002,1032.000,1849.002,1866.000
14406.25001000,803.000,.002,941.000,1744.002,1762.000
14406.25001000,827.000,.002,946.000,1773.002,1791.000
14406.25001000,825.000,.002,959.000,1784.002,1800.000
14406.25001000,829.000,.002,939.000,1768.002,1784.000
14406.25001000,797.000,.002,1015.000,1812.002,1829.000
14406.25001000,828.000,.002,939.000,1767.002,1785.000
14406.25001000,831.000,.003,946.000,1777.003,1795.000
14406.25001000,831.000,.002,965.000,1796.002,1812.000
14406.25001000,835.000,.002,939.000,1774.002,1792.000
14406.25001000,842.000,.002,1052.000,1894.002,1912.000
