FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,826.000,.002,1010.000,1836.002,1853.000
14406.25001000,840.000,.002,994.000,1834.002,1851.000
14406.25001000,813.000,.003,999.000,1812.003,1828.000
14406.25001000,821.000,.003,952.000,1773.003,1791.000
14406.25001000,830.000,.002,957.000,1787.002,1803.000
14406.25001000,812.000,.002,951.000,1763.002,1780.000
14406.25001000,823.000,.002,1472.000,2295.002,2312.000
14406.25001000,832.000,.002,958.000,1790.002,1806.000
14406.25001000,850.000,.002,1005.000,1855.002,1873.000
14406.25001000,834.000,.002,1011.000,1845.002,1863.000
14406.25001000,809.000,.002,968.000,1777.002,1794.000
14406.25001000,830.000,.003,1027.000,1857.003,1875.000
14406.25001000,827.000,.002,1.000,828.002,845.000
14406.25001000,826.000,.002,1009.000,1835.002,1852.000
14406.25001000,829.000,.003,958.000,1787.003,1804.000
14406.25001000,811.000,.003,954.000,1765.003,1782.000
14406.25001000,832.000,.003,997.000,1829.003,1848.000
14406.25001000,829.000,.002,990.000,1819.002,1835.000
14406.25001000,839.000,.002,969.000,1808.002,1824.000
14406.25001000,818.000,.002,965.000,1783.002,1799.000
14406.25001000,840.000,.002,978.000,1818.002,1836.000
14406.25001000,820.000,.002,1004.000,1824.002,1840.000
14406.25001000,829.000,.002,1021.000,1850.002,1865.000
14406.25001000,829.000,.003,995.000,1824.003,1842.000
14406.25001000,822.000,.002,1.000,823.002,843.000
14406.25001000,823.000,.002,966.000,1789.002,1807.000
14406.25001000,818.000,.001,1009.000,1827.001,1842.000
14406.25001000,826.000,.002,963.000,1789.002,1804.000
14406.25001000,838.000,.003,996.000,1834.003,1853.000
14406.25001000,836.000,.002,992.000,1828.002,1846.000
14406.25001000,845.000,.002,993.000,1838.002,1852.000
14406.25001000,848.000,.003,996.000,1844.003,1861.000
14406.25001000,817.000,.002,954.000,1771.002,1787.000
14406.25001000,808.000,.002,992.000,1800.002,1820.000
14406.25001000,816.000,.003,996.000,1812.003,1829.000
14406.25001000,800.000,.002,981.000,1781.002,1799.000
14406.25001000,839.000,.002,1036.000,1875.002,1893.000
14406.25001000,825.000,.002,1012.000,1837.002,1853.000
14406.25001000,845.000,.002,984.000,1829.002,1848.000
14406.25001000,839.000,.002,1012.000,1851.002,1869.000
14406.25001000,852.000,.002,1067.000,1919.002,1935.000
14406.25001000,819.000,.002,957.000,1776.002,1802.000
14406.25001000,819.000,.002,961.000,1780.002,1798.000
14406.25001000,818.000,.003,956.000,1774.003,1793.000
14406.25001000,847.000,.001,1037.000,1884.001,1900.000
14406.25001000,814.000,.002,972.000,1786.002,1804.000
14406.25001000,838.000,.002,1012.000,1850.002,1867.000
