FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,16710.000,.029,992.000,17702.029,17747.000
14406.25001000,831.000,.002,1010.000,1841.002,1858.000
14406.25001000,835.000,.002,955.000,1790.002,1807.000
14406.25001000,833.000,.002,1006.000,1839.002,1857.000
14406.25001000,827.000,.003,932.000,1759.003,1778.000
14406.25001000,814.000,.002,993.000,1807.002,1825.000
14406.25001000,825.000,.005,948.000,1773.005,1793.000
14406.25001000,853.000,.003,955.000,1808.003,1826.000
14406.25001000,833.000,.005,950.000,1783.005,1804.000
14406.25001000,844.000,.002,1001.000,1845.002,1866.000
14406.25001000,831.000,.003,987.000,1818.003,1836.000
14406.25001000,830.000,.002,998.000,1828.002,1847.000
14406.25001000,840.000,.003,953.000,1793.003,1813.000
14406.25001000,840.000,.003,982.000,1822.003,1842.000
14406.25001000,842.000,.003,1038.000,1880.003,1899.000
14406.25001000,821.000,.003,1047.000,1868.003,1887.000
14406.25001000,844.000,.003,1000.000,1844.003,1862.000
14406.25001000,828.000,.005,996.000,1824.005,1845.000
14406.25001000,805.000,.003,942.000,1747.003,1766.000
14406.25001000,820.000,.002,964.000,1784.002,1801.000
14406.25001000,834.000,.002,1015.000,1849.002,1868.000
14406.25001000,820.000,.002,956.000,1776.002,1793.000
14406.25001000,824.000,.003,988.000,1812.003,1830.000
14406.25001000,807.000,.002,956.000,1763.002,1783.000
14406.25001000,811.000,.002,1020.000,1831.002,1849.000
14406.25001000,833.000,.003,995.000,1828.003,1849.000
14406.25001000,831.000,.003,949.000,1780.003,1801.000
14406.25001000,817.000,.003,1014.000,1831.003,1851.000
14406.25001000,831.000,.002,993.000,1824.002,1843.000
14406.25001000,822.000,.002,1009.000,1831.002,1848.000
14406.25001000,827.000,.002,1512.000,2339.002,2356.000
14406.25001000,829.000,.003,961.000,1790.003,1809.000
14406.25001000,841.000,.003,979.000,1820.003,1838.000
14406.25001000,819.000,.002,1063.000,1882.002,1901.000
14406.25001000,829.000,.002,990.000,1819.002,1837.000
14406.25001000,836.000,.003,949.000,1785.003,1806.000
14406.25001000,834.000,.002,1.000,835.002,854.000
14406.25001000,833.000,.003,1010.000,1843.003,1860.000
14406.25001000,825.000,.002,939.000,1764.002,1783.000
14406.25001000,833.000,.002,948.000,1781.002,1799.000
14406.25001000,836.000,.003,961.000,1797.003,1817.000
14406.25001000,822.000,.002,940.000,1762.002,1780.000
14406.25001000,818.000,.002,1017.000,1835.002,1851.000
14406.25001000,810.000,.002,969.000,1779.002,1799.000
14406.25001000,821.000,.002,996.000,1817.002,1835.000
14406.25001000,842.000,.002,966.000,1808.002,1828.000
14406.25001000,838.000,.003,933.000,1771.003,1791.000
14406.25001000,821.000,.003,967.000,1788.003,1808.000
14406.25001000,838.000,.002,1004.000,1842.002,1861.000
14406.25001000,826.000,.003,965.000,1791.003,1812.000
14406.25001000,829.000,.002,970.000,1799.002,1817.000
14406.25001000,828.000,.003,953.000,1781.003,1802.000
14406.25001000,811.000,.002,946.000,1757.002,1775.000
