FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency
14406.250010000002,829.7222222222222,0.0025555555555555557,976.5,260096.36800000002
14406.250010000002,831.3125,0.002333333333333334,957.8819444444445,257644.336
14406.250010000002,828.2361111111111,0.0022361111111111115,964.4305555555555,258144.32200000004
14406.250010000002,912.1458333333334,0.0029097222222222224,969.7361111111111,270991.41900000005
14406.250010000002,1031.0416666666667,0.0029444444444444444,987.8472222222222,290720.424
14406.250010000002,918.2986111111111,0.002798611111111111,956.6805555555555,269997.40300000005
14406.250010000002,829.7013888888889,0.0023680555555555555,956.7083333333334,257243.34100000001
14406.250010000002,942.1875,0.0028958333333333336,961.6736111111111,274156.417
14406.250010000002,936.6597222222222,0.0025555555555555557,985.4583333333334,276785.368
14406.250010000002,888.5,0.002368055555555556,972.2152777777778,267943.341
