FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
14406.25001000,962.000,.038,1496.000,2458.038,2515.000
14406.25001000,837.000,.003,972.000,1809.003,1826.000
14406.25001000,826.000,.002,951.000,1777.002,1795.000
14406.25001000,839.000,.002,1332.000,2171.002,2188.000
14406.25001000,828.000,.003,957.000,1785.003,1805.000
14406.25001000,825.000,.003,953.000,1778.003,1796.000
14406.25001000,835.000,.002,955.000,1790.002,1807.000
14406.25001000,820.000,.002,961.000,1781.002,1799.000
14406.25001000,835.000,.002,1019.000,1854.002,1873.000
14406.25001000,842.000,.003,958.000,1800.003,1818.000
14406.25001000,820.000,.002,992.000,1812.002,1830.000
14406.25001000,833.000,.002,1017.000,1850.002,1869.000
14406.25001000,835.000,.003,949.000,1784.003,1806.000
14406.25001000,819.000,.002,934.000,1753.002,1775.000
14406.25001000,841.000,.003,947.000,1788.003,1807.000
14406.25001000,828.000,.002,872.000,1700.002,1716.000
14406.25001000,826.000,.002,1086.000,1912.002,1928.000
14406.25001000,821.000,.003,1001.000,1822.003,1841.000
14406.25001000,815.000,.002,967.000,1782.002,1800.000
14406.25001000,819.000,.001,1010.000,1829.001,1845.000
14406.25001000,844.000,.002,1009.000,1853.002,1869.000
14406.25001000,847.000,.002,1146.000,1993.002,2009.000
14406.25001000,844.000,.002,1061.000,1905.002,1923.000
14406.25001000,847.000,.002,1114.000,1961.002,1984.000
14406.25001000,881.000,.002,1026.000,1907.002,1925.000
14406.25001000,826.000,.002,1045.000,1871.002,1889.000
14406.25001000,849.000,.003,999.000,1848.003,1867.000
14406.25001000,883.000,.002,989.000,1872.002,1892.000
14406.25001000,809.000,.003,955.000,1764.003,1780.000
14406.25001000,830.000,.002,956.000,1786.002,1805.000
14406.25001000,806.000,.002,992.000,1798.002,1813.000
14406.25001000,830.000,.002,944.000,1774.002,1792.000
14406.25001000,810.000,.002,1016.000,1826.002,1845.000
14406.25001000,819.000,.002,1012.000,1831.002,1854.000
14406.25001000,808.000,.003,949.000,1757.003,1777.000
14406.25001000,820.000,.002,1031.000,1851.002,1868.000
14406.25001000,826.000,.002,1.000,827.002,843.000
14406.25001000,822.000,.002,960.000,1782.002,1800.000
14406.25001000,834.000,.002,968.000,1802.002,1820.000
14406.25001000,849.000,.002,1020.000,1869.002,1886.000
14406.25001000,840.000,.004,952.000,1792.004,1810.000
14406.25001000,825.000,.003,951.000,1776.003,1793.000
14406.25001000,813.000,.002,1012.000,1825.002,1843.000
14406.25001000,817.000,.003,1024.000,1841.003,1858.000
14406.25001000,819.000,.002,968.000,1787.002,1804.000
14406.25001000,839.000,.003,979.000,1818.003,1841.000
14406.25001000,813.000,.002,965.000,1778.002,1799.000
14406.25001000,813.000,.004,1002.000,1815.004,1836.000
14406.25001000,852.000,.002,980.000,1832.002,1850.000
14406.25001000,849.000,.002,982.000,1831.002,1848.000
14406.25001000,812.000,.002,996.000,1808.002,1827.000
14406.25001000,838.000,.003,971.000,1809.003,1826.000
14406.25001000,826.000,.002,1012.000,1838.002,1856.000
14406.25001000,831.000,.003,939.000,1770.003,1788.000
14406.25001000,818.000,.003,965.000,1783.003,1801.000
14406.25001000,826.000,.002,965.000,1791.002,1807.000
14406.25001000,829.000,.003,953.000,1782.003,1802.000
14406.25001000,814.000,.002,1060.000,1874.002,1892.000
14406.25001000,875.000,.002,1020.000,1895.002,1917.000
14406.25001000,825.000,.003,959.000,1784.003,1801.000
14406.25001000,815.000,.003,952.000,1767.003,1785.000
14406.25001000,836.000,.003,963.000,1799.003,1816.000
14406.25001000,840.000,.002,1083.000,1923.002,1940.000
14406.25001000,829.000,.003,991.000,1820.003,1839.000
14406.25001000,814.000,.002,0,814.002,832.000
14406.25001000,840.000,.002,1053.000,1893.002,1914.000
14406.25001000,840.000,.002,996.000,1836.002,1853.000
14406.25001000,840.000,.002,839.000,1679.002,1698.000
14406.25001000,852.000,.002,1031.000,1883.002,1899.000
14406.25001000,836.000,.002,995.000,1831.002,1849.000
14406.25001000,839.000,.002,1009.000,1848.002,1866.000
14406.25001000,852.000,.002,1014.000,1866.002,1886.000
14406.25001000,835.000,.001,994.000,1829.001,1846.000
14406.25001000,837.000,.002,993.000,1830.002,1847.000
14406.25001000,830.000,.002,1008.000,1838.002,1856.000
14406.25001000,726.000,.002,987.000,1713.002,1733.000
14406.25001000,834.000,.002,981.000,1815.002,1833.000
14406.25001000,814.000,.003,951.000,1765.003,1783.000
14406.25001000,836.000,.002,947.000,1783.002,1802.000
