GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency
838.0972222222222,1418.4500100000002,0.0030902777777777773,18.61001,1015.0138888888889,473785.08788000006
832.6805555555555,1418.4500100000002,0.003083333333333333,18.61001,960.8472222222222,465205.08688
838.8194444444445,1418.4500100000002,0.0029999999999999996,18.61001,981.5694444444445,469073.0748800001
834.6111111111111,1418.4500100000002,0.002902777777777777,18.61001,954.5902777777778,464582.06088000006
834.3125,1418.4500100000002,0.003006944444444444,18.61001,964.2708333333334,465933.07588
834.9652777777778,1418.4500100000002,0.0030555555555555553,18.61001,963.6805555555555,465942.08288
906.6180555555555,1418.4500100000002,0.0030763888888888885,18.61001,966.7430555555555,476701.08588
834.6458333333334,1418.4500100000002,0.0030416666666666665,18.61001,954.9722222222222,464642.08088
834.0625,1418.4500100000002,0.0031041666666666665,18.61001,959.3958333333334,465195.08988000004
834.875,1418.4500100000002,0.0029375,18.61001,961.2430555555555,465578.06588000007
