GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
10737.000,1418.45001000,.003,18.61001000,1018.000,13192.06302000,23896.000
836.000,1418.45001000,.003,18.61001000,993.000,3266.06302000,9169.000
844.000,1418.45001000,.004,18.61001000,1027.000,3308.06402000,9213.000
860.000,1418.45001000,.003,18.61001000,984.000,3281.06302000,9214.000
839.000,1418.45001000,.003,18.61001000,947.000,3223.06302000,9145.000
830.000,1418.45001000,.003,18.61001000,1025.000,3292.06302000,9156.000
835.000,1418.45001000,.003,18.61001000,970.000,3242.06302000,9133.000
841.000,1418.45001000,.003,18.61001000,981.000,3259.06302000,9239.000
850.000,1418.45001000,.003,18.61001000,975.000,3262.06302000,9157.000
828.000,1418.45001000,.003,18.61001000,952.000,3217.06302000,9266.000
861.000,1418.45001000,.004,18.61001000,938.000,3236.06402000,9213.000
853.000,1418.45001000,.002,18.61001000,1018.000,3308.06202000,9246.000
833.000,1418.45001000,.002,18.61001000,1069.000,3339.06202000,9310.000
858.000,1418.45001000,.004,18.61001000,977.000,3272.06402000,9276.000
828.000,1418.45001000,.004,18.61001000,962.000,3227.06402000,9208.000
831.000,1418.45001000,.004,18.61001000,1016.000,3284.06402000,9310.000
866.000,1418.45001000,.003,18.61001000,983.000,3286.06302000,9183.000
841.000,1418.45001000,.003,18.61001000,970.000,3248.06302000,9267.000
837.000,1418.45001000,.004,18.61001000,1011.000,3285.06402000,9308.000
856.000,1418.45001000,.003,18.61001000,1070.000,3363.06302000,9417.000
852.000,1418.45001000,.003,18.61001000,946.000,3235.06302000,9349.000
836.000,1418.45001000,.003,18.61001000,1101.000,3374.06302000,9461.000
824.000,1418.45001000,.003,18.61001000,1006.000,3267.06302000,9281.000
828.000,1418.45001000,.004,18.61001000,954.000,3219.06402000,9183.000
818.000,1418.45001000,.004,18.61001000,1010.000,3265.06402000,9331.000
835.000,1418.45001000,.003,18.61001000,974.000,3246.06302000,9448.000
852.000,1418.45001000,.003,18.61001000,966.000,3255.06302000,9503.000
833.000,1418.45001000,.004,18.61001000,952.000,3222.06402000,9363.000
846.000,1418.45001000,.003,18.61001000,968.000,3251.06302000,9260.000
851.000,1418.45001000,.003,18.61001000,1473.000,3761.06302000,9752.000
834.000,1418.45001000,.003,18.61001000,1025.000,3296.06302000,9365.000
826.000,1418.45001000,.003,18.61001000,872.000,3135.06302000,9009.000
841.000,1418.45001000,.004,18.61001000,993.000,3271.06402000,9267.000
832.000,1418.45001000,.003,18.61001000,968.000,3237.06302000,9311.000
825.000,1418.45001000,.003,18.61001000,1091.000,3353.06302000,9391.000
837.000,1418.45001000,.005,18.61001000,1038.000,3312.06502000,9365.000
839.000,1418.45001000,.003,18.61001000,1.000,2277.06302000,8130.000
836.000,1418.45001000,.003,18.61001000,995.000,3268.06302000,9352.000
846.000,1418.45001000,.002,18.61001000,990.000,3273.06202000,9306.000
821.000,1418.45001000,.003,18.61001000,1016.000,3274.06302000,9445.000
841.000,1418.45001000,.003,18.61001000,1067.000,3345.06302000,9308.000
827.000,1418.45001000,.003,18.61001000,948.000,3212.06302000,9282.000
862.000,1418.45001000,.002,18.61001000,1006.000,3305.06202000,9334.000
855.000,1418.45001000,.003,18.61001000,1008.000,3300.06302000,9377.000
835.000,1418.45001000,.003,18.61001000,926.000,3198.06302000,9297.000
834.000,1418.45001000,.002,18.61001000,998.000,3269.06202000,9298.000
840.000,1418.45001000,.003,18.61001000,951.000,3228.06302000,9235.000
860.000,1418.45001000,.003,18.61001000,954.000,3251.06302000,9291.000
825.000,1418.45001000,.003,18.61001000,1050.000,3312.06302000,9354.000
842.000,1418.45001000,.004,18.61001000,986.000,3265.06402000,9362.000
849.000,1418.45001000,.003,18.61001000,1020.000,3306.06302000,9462.000
839.000,1418.45001000,.003,18.61001000,934.000,3210.06302000,9348.000
856.000,1418.45001000,.003,18.61001000,974.000,3267.06302000,9201.000
