GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
830.000,1418.45001000,.003,18.61001000,1040.000,3307.06302000,25909.000
829.000,1418.45001000,.002,18.61001000,1015.000,3281.06202000,25874.000
838.000,1418.45001000,.003,18.61001000,1019.000,3294.06302000,25780.000
816.000,1418.45001000,.003,18.61001000,958.000,3211.06302000,25981.000
830.000,1418.45001000,.003,18.61001000,999.000,3266.06302000,26325.000
827.000,1418.45001000,.004,18.61001000,1245.000,3509.06402000,30294.000
834.000,1418.45001000,.002,18.61001000,1020.000,3291.06202000,25822.000
844.000,1418.45001000,.002,18.61001000,1050.000,3331.06202000,26332.000
833.000,1418.45001000,.003,18.61001000,999.000,3269.06302000,25788.000
847.000,1418.45001000,.004,18.61001000,1005.000,3289.06402000,26023.000
860.000,1418.45001000,.003,18.61001000,1066.000,3363.06302000,25893.000
869.000,1418.45001000,.003,18.61001000,1400.000,3706.06302000,30325.000
845.000,1418.45001000,.002,18.61001000,984.000,3266.06202000,25834.000
838.000,1418.45001000,.003,18.61001000,998.000,3273.06302000,26281.000
837.000,1418.45001000,.002,18.61001000,966.000,3240.06202000,26186.000
867.000,1418.45001000,.003,18.61001000,999.000,3303.06302000,26285.000
755.000,1418.45001000,.002,18.61001000,937.000,3129.06202000,25429.000
849.000,1418.45001000,.003,18.61001000,971.000,3257.06302000,26771.000
835.000,1418.45001000,.003,18.61001000,928.000,3200.06302000,25875.000
