FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,773.000,.003,1014.000,1787.003,1805.000
301.282243000,779.000,.002,949.000,1728.002,1745.000
301.282243000,779.000,.003,900.000,1679.003,1700.000
301.282243000,778.000,.003,903.000,1681.003,1699.000
301.282243000,772.000,.004,905.000,1677.004,1697.000
301.282243000,803.000,.002,937.000,1740.002,1758.000
301.282243000,786.000,.002,985.000,1771.002,1788.000
301.282243000,790.000,.002,957.000,1747.002,1765.000
301.282243000,790.000,.002,989.000,1779.002,1797.000
301.282243000,789.000,.002,909.000,1698.002,1715.000
301.282243000,785.000,.002,960.000,1745.002,1761.000
301.282243000,771.000,.004,920.000,1691.004,1713.000
301.282243000,791.000,.002,978.000,1769.002,1788.000
301.282243000,785.000,.002,901.000,1686.002,1703.000
301.282243000,794.000,.002,940.000,1734.002,1751.000
301.282243000,805.000,.003,928.000,1733.003,1753.000
301.282243000,792.000,.003,1038.000,1830.003,1850.000
301.282243000,792.000,.003,983.000,1775.003,1794.000
301.282243000,801.000,.002,994.000,1795.002,1812.000
301.282243000,782.000,.003,998.000,1780.003,1798.000
301.282243000,802.000,.002,913.000,1715.002,1733.000
301.282243000,786.000,.002,952.000,1738.002,1756.000
301.282243000,782.000,.003,957.000,1739.003,1758.000
301.282243000,784.000,.002,911.000,1695.002,1713.000
301.282243000,784.000,.004,898.000,1682.004,1701.000
301.282243000,792.000,.002,987.000,1779.002,1798.000
301.282243000,783.000,.002,968.000,1751.002,1768.000
301.282243000,787.000,.003,904.000,1691.003,1710.000
301.282243000,781.000,.002,917.000,1698.002,1719.000
301.282243000,771.000,.003,884.000,1655.003,1674.000
301.282243000,786.000,.004,917.000,1703.004,1722.000
301.282243000,794.000,.003,1024.000,1818.003,1838.000
301.282243000,797.000,.002,819.000,1616.002,1635.000
301.282243000,801.000,.002,1386.000,2187.002,2204.000
301.282243000,782.000,.002,816.000,1598.002,1617.000
301.282243000,789.000,.002,986.000,1775.002,1795.000
301.282243000,792.000,.003,2.000,794.003,814.000
301.282243000,794.000,.003,1003.000,1797.003,1814.000
301.282243000,789.000,.002,961.000,1750.002,1769.000
301.282243000,791.000,.003,982.000,1773.003,1795.000
301.282243000,785.000,.002,938.000,1723.002,1739.000
301.282243000,784.000,.002,959.000,1743.002,1760.000
301.282243000,782.000,.003,978.000,1760.003,1778.000
301.282243000,769.000,.003,977.000,1746.003,1762.000
301.282243000,778.000,.002,994.000,1772.002,1792.000
301.282243000,789.000,.002,993.000,1782.002,1799.000
301.282243000,786.000,.002,989.000,1775.002,1794.000
301.282243000,786.000,.003,996.000,1782.003,1800.000
301.282243000,785.000,.002,950.000,1735.002,1753.000
301.282243000,776.000,.002,916.000,1692.002,1712.000
301.282243000,797.000,.002,969.000,1766.002,1783.000
301.282243000,774.000,.003,920.000,1694.003,1713.000
301.282243000,789.000,.002,923.000,1712.002,1729.000
301.282243000,780.000,.002,968.000,1748.002,1765.000
301.282243000,785.000,.002,925.000,1710.002,1729.000
301.282243000,791.000,.002,957.000,1748.002,1766.000
301.282243000,792.000,.002,925.000,1717.002,1733.000
301.282243000,787.000,.002,970.000,1757.002,1775.000
301.282243000,763.000,.003,948.000,1711.003,1728.000
301.282243000,800.000,.002,975.000,1775.002,1793.000
301.282243000,788.000,.003,992.000,1780.003,1800.000
301.282243000,786.000,.002,964.000,1750.002,1769.000
301.282243000,781.000,.003,930.000,1711.003,1729.000
301.282243000,774.000,.002,960.000,1734.002,1753.000
301.282243000,787.000,.003,1.000,788.003,808.000
301.282243000,806.000,.002,978.000,1784.002,1802.000
301.282243000,787.000,.002,928.000,1715.002,1731.000
301.282243000,784.000,.003,966.000,1750.003,1770.000
301.282243000,795.000,.002,974.000,1769.002,1787.000
301.282243000,796.000,.002,931.000,1727.002,1746.000
301.282243000,784.000,.002,975.000,1759.002,1776.000
301.282243000,793.000,.003,959.000,1752.003,1769.000
301.282243000,787.000,.003,925.000,1712.003,1729.000
301.282243000,784.000,.003,974.000,1758.003,1777.000
301.282243000,803.000,.002,976.000,1779.002,1798.000
301.282243000,794.000,.002,939.000,1733.002,1748.000
301.282243000,787.000,.003,960.000,1747.003,1766.000
301.282243000,785.000,.004,930.000,1715.004,1737.000
301.282243000,801.000,.003,913.000,1714.003,1733.000
301.282243000,797.000,.002,915.000,1712.002,1728.000
301.282243000,784.000,.003,926.000,1710.003,1729.000
301.282243000,796.000,.002,994.000,1790.002,1806.000
301.282243000,794.000,.003,977.000,1771.003,1790.000
301.282243000,770.000,.001,965.000,1735.001,1751.000
301.282243000,776.000,.003,901.000,1677.003,1694.000
301.282243000,798.000,.004,1037.000,1835.004,1855.000
301.282243000,804.000,.002,1421.000,2225.002,2242.000
301.282243000,780.000,.002,925.000,1705.002,1724.000
301.282243000,785.000,.003,1026.000,1811.003,1831.000
301.282243000,782.000,.003,960.000,1742.003,1760.000
301.282243000,788.000,.002,1034.000,1822.002,1840.000
301.282243000,800.000,.002,979.000,1779.002,1796.000
301.282243000,773.000,.004,946.000,1719.004,1737.000
301.282243000,788.000,.002,907.000,1695.002,1715.000
301.282243000,784.000,.005,939.000,1723.005,1742.000
301.282243000,802.000,.003,913.000,1715.003,1735.000
301.282243000,797.000,.002,941.000,1738.002,1758.000
301.282243000,807.000,.002,926.000,1733.002,1750.000
301.282243000,828.000,.003,959.000,1787.003,1804.000
301.282243000,789.000,.002,902.000,1691.002,1708.000
301.282243000,801.000,.002,966.000,1767.002,1784.000
301.282243000,789.000,.002,920.000,1709.002,1726.000
301.282243000,784.000,.003,1024.000,1808.003,1828.000
301.282243000,797.000,.002,947.000,1744.002,1763.000
301.282243000,780.000,.003,1035.000,1815.003,1833.000
301.282243000,790.000,.003,991.000,1781.003,1800.000
301.282243000,787.000,.002,995.000,1782.002,1801.000
301.282243000,777.000,.002,997.000,1774.002,1794.000
301.282243000,792.000,.002,993.000,1785.002,1802.000
301.282243000,801.000,.002,1.000,802.002,822.000
301.282243000,796.000,.003,911.000,1707.003,1727.000
301.282243000,791.000,.003,935.000,1726.003,1743.000
301.282243000,797.000,.002,985.000,1782.002,1799.000
301.282243000,782.000,.002,940.000,1722.002,1739.000
301.282243000,774.000,.003,968.000,1742.003,1761.000
301.282243000,794.000,.005,1434.000,2228.005,2248.000
301.282243000,790.000,.002,940.000,1730.002,1749.000
301.282243000,792.000,.002,931.000,1723.002,1740.000
301.282243000,788.000,.003,948.000,1736.003,1755.000
301.282243000,804.000,.002,984.000,1788.002,1808.000
301.282243000,790.000,.003,924.000,1714.003,1733.000
301.282243000,795.000,.003,1.000,796.003,814.000
301.282243000,790.000,.003,973.000,1763.003,1784.000
301.282243000,799.000,.003,939.000,1738.003,1757.000
301.282243000,788.000,.001,983.000,1771.001,1790.000
301.282243000,802.000,.002,985.000,1787.002,1805.000
301.282243000,789.000,.002,986.000,1775.002,1794.000
301.282243000,792.000,.003,998.000,1790.003,1809.000
301.282243000,804.000,.003,973.000,1777.003,1795.000
301.282243000,777.000,.002,969.000,1746.002,1765.000
301.282243000,798.000,.003,1016.000,1814.003,1833.000
301.282243000,796.000,.002,906.000,1702.002,1719.000
301.282243000,820.000,.003,923.000,1743.003,1763.000
301.282243000,789.000,.003,959.000,1748.003,1770.000
301.282243000,779.000,.002,933.000,1712.002,1730.000
301.282243000,797.000,.005,919.000,1716.005,1739.000
301.282243000,768.000,.001,921.000,1689.001,1707.000
301.282243000,797.000,.003,1037.000,1834.003,1856.000
301.282243000,811.000,.002,917.000,1728.002,1745.000
301.282243000,776.000,.003,920.000,1696.003,1716.000
301.282243000,776.000,.003,932.000,1708.003,1724.000
301.282243000,782.000,.002,964.000,1746.002,1765.000
301.282243000,791.000,.002,984.000,1775.002,1803.000
301.282243000,781.000,.002,930.000,1711.002,1731.000
