FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,789.000,.003,977.000,1766.003,1785.000
301.282243000,772.000,.002,945.000,1717.002,1736.000
301.282243000,786.000,.002,958.000,1744.002,1762.000
301.282243000,779.000,.002,958.000,1737.002,1753.000
301.282243000,791.000,.002,975.000,1766.002,1783.000
301.282243000,784.000,.002,908.000,1692.002,1710.000
301.282243000,772.000,.003,922.000,1694.003,1711.000
301.282243000,776.000,.003,915.000,1691.003,1708.000
301.282243000,787.000,.005,954.000,1741.005,1761.000
301.282243000,792.000,.003,900.000,1692.003,1710.000
301.282243000,784.000,.003,891.000,1675.003,1693.000
301.282243000,782.000,.003,905.000,1687.003,1705.000
301.282243000,787.000,.002,912.000,1699.002,1716.000
301.282243000,778.000,.002,900.000,1678.002,1696.000
301.282243000,783.000,.002,910.000,1693.002,1708.000
301.282243000,781.000,.005,900.000,1681.005,1702.000
301.282243000,785.000,.003,918.000,1703.003,1721.000
301.282243000,778.000,.002,969.000,1747.002,1768.000
301.282243000,791.000,.003,922.000,1713.003,1731.000
301.282243000,785.000,.002,949.000,1734.002,1751.000
301.282243000,777.000,.002,918.000,1695.002,1712.000
301.282243000,780.000,.002,1037.000,1817.002,1833.000
301.282243000,783.000,.003,963.000,1746.003,1765.000
301.282243000,787.000,.002,1026.000,1813.002,1833.000
301.282243000,788.000,.002,957.000,1745.002,1764.000
301.282243000,796.000,.002,958.000,1754.002,1774.000
301.282243000,777.000,.003,912.000,1689.003,1708.000
301.282243000,785.000,.002,944.000,1729.002,1748.000
301.282243000,783.000,.002,987.000,1770.002,1789.000
301.282243000,782.000,.003,970.000,1752.003,1769.000
301.282243000,784.000,.002,1039.000,1823.002,1842.000
301.282243000,773.000,.002,976.000,1749.002,1770.000
301.282243000,784.000,.002,1027.000,1811.002,1828.000
301.282243000,781.000,.002,967.000,1748.002,1767.000
301.282243000,783.000,.002,927.000,1710.002,1729.000
301.282243000,785.000,.002,990.000,1775.002,1793.000
301.282243000,781.000,.003,2.000,783.003,805.000
301.282243000,791.000,.002,988.000,1779.002,1797.000
301.282243000,783.000,.002,999.000,1782.002,1799.000
301.282243000,793.000,.002,988.000,1781.002,1798.000
301.282243000,792.000,.002,938.000,1730.002,1747.000
301.282243000,784.000,.003,949.000,1733.003,1752.000
301.282243000,793.000,.002,987.000,1780.002,1799.000
301.282243000,791.000,.003,986.000,1777.003,1800.000
301.282243000,778.000,.002,955.000,1733.002,1752.000
301.282243000,799.000,.002,971.000,1770.002,1791.000
301.282243000,783.000,.002,953.000,1736.002,1752.000
301.282243000,790.000,.002,990.000,1780.002,1797.000
301.282243000,792.000,.002,984.000,1776.002,1793.000
