FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
301.282243000,783.000,.003,1020.000,1803.003,1821.000
301.282243000,797.000,.002,949.000,1746.002,1764.000
301.282243000,776.000,.003,977.000,1753.003,1772.000
301.282243000,787.000,.002,919.000,1706.002,1722.000
301.282243000,780.000,.002,935.000,1715.002,1733.000
301.282243000,777.000,.003,954.000,1731.003,1749.000
301.282243000,796.000,.003,890.000,1686.003,1704.000
301.282243000,793.000,.003,904.000,1697.003,1715.000
301.282243000,785.000,.004,925.000,1710.004,1728.000
301.282243000,796.000,.002,991.000,1787.002,1805.000
301.282243000,808.000,.004,970.000,1778.004,1797.000
301.282243000,780.000,.002,965.000,1745.002,1764.000
301.282243000,798.000,.002,960.000,1758.002,1776.000
301.282243000,772.000,.004,963.000,1735.004,1759.000
301.282243000,789.000,.002,956.000,1745.002,1764.000
301.282243000,777.000,.003,889.000,1666.003,1685.000
301.282243000,776.000,.004,902.000,1678.004,1701.000
301.282243000,787.000,.002,970.000,1757.002,1776.000
301.282243000,805.000,.002,910.000,1715.002,1733.000
301.282243000,797.000,.004,908.000,1705.004,1728.000
301.282243000,791.000,.002,993.000,1784.002,1801.000
301.282243000,804.000,.002,984.000,1788.002,1805.000
301.282243000,772.000,.002,1005.000,1777.002,1795.000
301.282243000,796.000,.002,979.000,1775.002,1797.000
301.282243000,798.000,.003,984.000,1782.003,1803.000
301.282243000,770.000,.002,969.000,1739.002,1758.000
301.282243000,788.000,.003,968.000,1756.003,1774.000
301.282243000,774.000,.003,925.000,1699.003,1717.000
301.282243000,797.000,.005,1025.000,1822.005,1842.000
301.282243000,791.000,.003,962.000,1753.003,1774.000
301.282243000,792.000,.002,957.000,1749.002,1766.000
301.282243000,796.000,.004,940.000,1736.004,1756.000
301.282243000,783.000,.002,949.000,1732.002,1749.000
301.282243000,770.000,.002,907.000,1677.002,1695.000
301.282243000,780.000,.002,964.000,1744.002,1763.000
301.282243000,795.000,.003,976.000,1771.003,1790.000
301.282243000,788.000,.003,1.000,789.003,809.000
301.282243000,791.000,.002,987.000,1778.002,1797.000
301.282243000,793.000,.002,975.000,1768.002,1787.000
301.282243000,787.000,.003,951.000,1738.003,1755.000
301.282243000,780.000,.002,919.000,1699.002,1718.000
301.282243000,783.000,.002,923.000,1706.002,1722.000
301.282243000,783.000,.005,969.000,1752.005,1775.000
301.282243000,776.000,.002,1037.000,1813.002,1831.000
301.282243000,796.000,.002,974.000,1770.002,1789.000
301.282243000,780.000,.002,963.000,1743.002,1766.000
301.282243000,788.000,.003,964.000,1752.003,1769.000
301.282243000,777.000,.003,967.000,1744.003,1765.000
301.282243000,777.000,.002,963.000,1740.002,1759.000
301.282243000,780.000,.005,936.000,1716.005,1737.000
301.282243000,789.000,.002,987.000,1776.002,1795.000
301.282243000,794.000,.003,954.000,1748.003,1768.000
301.282243000,786.000,.003,921.000,1707.003,1726.000
301.282243000,778.000,.002,967.000,1745.002,1761.000
301.282243000,785.000,.002,926.000,1711.002,1728.000
301.282243000,781.000,.003,955.000,1736.003,1757.000
301.282243000,780.000,.003,914.000,1694.003,1713.000
301.282243000,768.000,.002,903.000,1671.002,1691.000
301.282243000,785.000,.002,935.000,1720.002,1738.000
301.282243000,793.000,.002,958.000,1751.002,1768.000
301.282243000,806.000,.003,972.000,1778.003,1797.000
301.282243000,782.000,.002,901.000,1683.002,1702.000
301.282243000,780.000,.002,1030.000,1810.002,1830.000
301.282243000,786.000,.002,952.000,1738.002,1756.000
301.282243000,790.000,.003,1.000,791.003,810.000
301.282243000,789.000,.003,962.000,1751.003,1770.000
301.282243000,790.000,.003,915.000,1705.003,1724.000
301.282243000,788.000,.002,1021.000,1809.002,1827.000
301.282243000,802.000,.002,926.000,1728.002,1747.000
301.282243000,784.000,.001,923.000,1707.001,1725.000
301.282243000,781.000,.002,1478.000,2259.002,2278.000
301.282243000,776.000,.001,922.000,1698.001,1715.000
301.282243000,795.000,.005,957.000,1752.005,1772.000
301.282243000,779.000,.002,909.000,1688.002,1707.000
301.282243000,779.000,.003,914.000,1693.003,1712.000
301.282243000,790.000,.002,924.000,1714.002,1732.000
301.282243000,772.000,.003,962.000,1734.003,1754.000
301.282243000,781.000,.002,894.000,1675.002,1694.000
301.282243000,790.000,.002,1039.000,1829.002,1848.000
301.282243000,797.000,.003,978.000,1775.003,1794.000
301.282243000,779.000,.003,966.000,1745.003,1765.000
301.282243000,805.000,.002,965.000,1770.002,1789.000
301.282243000,777.000,.001,902.000,1679.001,1697.000
301.282243000,786.000,.004,913.000,1699.004,1717.000
301.282243000,789.000,.002,1024.000,1813.002,1830.000
301.282243000,796.000,.002,981.000,1777.002,1795.000
301.282243000,772.000,.002,963.000,1735.002,1754.000
301.282243000,786.000,.002,906.000,1692.002,1709.000
301.282243000,787.000,.004,923.000,1710.004,1733.000
301.282243000,777.000,.003,995.000,1772.003,1791.000
301.282243000,801.000,.003,940.000,1741.003,1761.000
301.282243000,773.000,.002,918.000,1691.002,1709.000
301.282243000,780.000,.002,971.000,1751.002,1768.000
301.282243000,776.000,.002,914.000,1690.002,1712.000
301.282243000,774.000,.002,903.000,1677.002,1693.000
301.282243000,794.000,.003,1039.000,1833.003,1852.000
301.282243000,803.000,.002,980.000,1783.002,1800.000
301.282243000,780.000,.003,963.000,1743.003,1764.000
301.282243000,781.000,.003,965.000,1746.003,1767.000
301.282243000,781.000,.002,907.000,1688.002,1706.000
301.282243000,795.000,.002,941.000,1736.002,1756.000
301.282243000,780.000,.004,957.000,1737.004,1757.000
301.282243000,792.000,.003,962.000,1754.003,1772.000
301.282243000,788.000,.002,903.000,1691.002,1708.000
301.282243000,789.000,.002,916.000,1705.002,1722.000
301.282243000,781.000,.002,932.000,1713.002,1731.000
301.282243000,775.000,.002,946.000,1721.002,1741.000
301.282243000,786.000,.004,915.000,1701.004,1721.000
301.282243000,783.000,.003,1030.000,1813.003,1832.000
301.282243000,782.000,.004,1.000,783.004,802.000
301.282243000,784.000,.002,956.000,1740.002,1758.000
301.282243000,787.000,.002,925.000,1712.002,1730.000
301.282243000,779.000,.002,952.000,1731.002,1750.000
301.282243000,775.000,.005,901.000,1676.005,1697.000
301.282243000,783.000,.003,921.000,1704.003,1722.000
