FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,789.000,.002,915.000,1704.002,1721.000
301.282243000,773.000,.003,910.000,1683.003,1702.000
301.282243000,779.000,.002,921.000,1700.002,1718.000
301.282243000,790.000,.003,960.000,1750.003,1769.000
301.282243000,793.000,.002,912.000,1705.002,1723.000
301.282243000,788.000,.002,930.000,1718.002,1736.000
301.282243000,784.000,.002,970.000,1754.002,1772.000
301.282243000,796.000,.003,950.000,1746.003,1765.000
301.282243000,795.000,.002,920.000,1715.002,1732.000
301.282243000,781.000,.003,968.000,1749.003,1766.000
301.282243000,790.000,.002,894.000,1684.002,1702.000
301.282243000,791.000,.005,910.000,1701.005,1720.000
301.282243000,775.000,.002,908.000,1683.002,1702.000
301.282243000,783.000,.004,926.000,1709.004,1730.000
301.282243000,790.000,.002,988.000,1778.002,1794.000
301.282243000,775.000,.002,957.000,1732.002,1750.000
301.282243000,770.000,.002,922.000,1692.002,1708.000
301.282243000,777.000,.002,911.000,1688.002,1706.000
301.282243000,796.000,.003,1023.000,1819.003,1840.000
301.282243000,799.000,.002,972.000,1771.002,1790.000
301.282243000,794.000,.003,984.000,1778.003,1795.000
301.282243000,771.000,.002,962.000,1733.002,1753.000
301.282243000,782.000,.002,899.000,1681.002,1696.000
301.282243000,791.000,.003,904.000,1695.003,1714.000
301.282243000,780.000,.003,910.000,1690.003,1709.000
301.282243000,785.000,.002,964.000,1749.002,1767.000
301.282243000,785.000,.002,929.000,1714.002,1731.000
301.282243000,777.000,.005,935.000,1712.005,1732.000
301.282243000,779.000,.003,994.000,1773.003,1792.000
301.282243000,779.000,.003,946.000,1725.003,1744.000
301.282243000,790.000,.003,900.000,1690.003,1707.000
301.282243000,766.000,.003,910.000,1676.003,1695.000
301.282243000,784.000,.002,900.000,1684.002,1701.000
301.282243000,783.000,.002,902.000,1685.002,1704.000
301.282243000,778.000,.002,897.000,1675.002,1692.000
301.282243000,782.000,.002,906.000,1688.002,1706.000
301.282243000,786.000,.002,2.000,788.002,807.000
301.282243000,794.000,.003,980.000,1774.003,1792.000
301.282243000,775.000,.003,938.000,1713.003,1732.000
301.282243000,777.000,.003,962.000,1739.003,1757.000
301.282243000,786.000,.003,930.000,1716.003,1734.000
301.282243000,781.000,.003,975.000,1756.003,1775.000
301.282243000,797.000,.005,953.000,1750.005,1770.000
301.282243000,782.000,.003,901.000,1683.003,1701.000
301.282243000,783.000,.003,912.000,1695.003,1713.000
301.282243000,774.000,.002,805.000,1579.002,1596.000
301.282243000,779.000,.002,942.000,1721.002,1739.000
301.282243000,767.000,.002,962.000,1729.002,1745.000
301.282243000,781.000,.003,902.000,1683.003,1701.000
301.282243000,809.000,.002,923.000,1732.002,1753.000
301.282243000,784.000,.002,954.000,1738.002,1758.000
301.282243000,777.000,.002,919.000,1696.002,1713.000
301.282243000,785.000,.003,930.000,1715.003,1734.000
301.282243000,778.000,.002,949.000,1727.002,1745.000
301.282243000,686.000,.003,943.000,1629.003,1646.000
301.282243000,783.000,.002,945.000,1728.002,1746.000
301.282243000,767.000,.003,967.000,1734.003,1754.000
301.282243000,784.000,.002,947.000,1731.002,1749.000
301.282243000,790.000,.002,931.000,1721.002,1745.000
301.282243000,790.000,.002,967.000,1757.002,1774.000
301.282243000,765.000,.003,909.000,1674.003,1693.000
301.282243000,791.000,.003,968.000,1759.003,1777.000
301.282243000,790.000,.002,912.000,1702.002,1720.000
301.282243000,785.000,.002,932.000,1717.002,1735.000
301.282243000,776.000,.002,2.000,778.002,795.000
301.282243000,771.000,.002,949.000,1720.002,1739.000
301.282243000,786.000,.002,897.000,1683.002,1699.000
301.282243000,780.000,.002,908.000,1688.002,1707.000
301.282243000,778.000,.002,916.000,1694.002,1710.000
301.282243000,780.000,.002,1041.000,1821.002,1840.000
301.282243000,789.000,.002,994.000,1783.002,1800.000
301.282243000,782.000,.004,944.000,1726.004,1744.000
301.282243000,785.000,.003,899.000,1684.003,1703.000
301.282243000,777.000,.003,911.000,1688.003,1707.000
301.282243000,783.000,.003,970.000,1753.003,1773.000
301.282243000,776.000,.003,959.000,1735.003,1754.000
301.282243000,773.000,.003,952.000,1725.003,1743.000
301.282243000,793.000,.002,920.000,1713.002,1730.000
301.282243000,794.000,.002,918.000,1712.002,1729.000
301.282243000,791.000,.002,945.000,1736.002,1753.000
301.282243000,791.000,.003,907.000,1698.003,1716.000
301.282243000,775.000,.002,891.000,1666.002,1683.000
301.282243000,787.000,.003,935.000,1722.003,1741.000
301.282243000,776.000,.002,965.000,1741.002,1760.000
301.282243000,772.000,.003,896.000,1668.003,1686.000
301.282243000,774.000,.002,924.000,1698.002,1718.000
301.282243000,787.000,.002,920.000,1707.002,1725.000
301.282243000,802.000,.003,983.000,1785.003,1806.000
301.282243000,791.000,.003,959.000,1750.003,1769.000
301.282243000,780.000,.002,929.000,1709.002,1727.000
301.282243000,782.000,.003,993.000,1775.003,1794.000
301.282243000,782.000,.002,954.000,1736.002,1753.000
301.282243000,792.000,.002,936.000,1728.002,1744.000
