FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,777.000,.004,973.000,1750.004,1772.000
301.282243000,772.000,.002,935.000,1707.002,1729.000
301.282243000,794.000,.005,984.000,1778.005,1798.000
301.282243000,791.000,.003,955.000,1746.003,1765.000
301.282243000,796.000,.003,1022.000,1818.003,1837.000
301.282243000,788.000,.002,2.000,790.002,810.000
301.282243000,789.000,.002,916.000,1705.002,1726.000
301.282243000,776.000,.002,905.000,1681.002,1698.000
301.282243000,787.000,.004,888.000,1675.004,1697.000
301.282243000,778.000,.002,907.000,1685.002,1702.000
301.282243000,780.000,.003,891.000,1671.003,1691.000
301.282243000,790.000,.003,896.000,1686.003,1704.000
301.282243000,774.000,.002,902.000,1676.002,1698.000
301.282243000,783.000,.004,905.000,1688.004,1707.000
301.282243000,800.000,.003,1026.000,1826.003,1847.000
301.282243000,785.000,.002,965.000,1750.002,1769.000
301.282243000,777.000,.005,1029.000,1806.005,1826.000
301.282243000,790.000,.002,986.000,1776.002,1794.000
301.282243000,790.000,.002,990.000,1780.002,1802.000
301.282243000,787.000,.002,945.000,1732.002,1750.000
301.282243000,784.000,.003,898.000,1682.003,1700.000
301.282243000,777.000,.004,921.000,1698.004,1716.000
301.282243000,784.000,.002,858.000,1642.002,1661.000
301.282243000,794.000,.002,816.000,1610.002,1628.000
301.282243000,776.000,.002,936.000,1712.002,1732.000
301.282243000,782.000,.002,949.000,1731.002,1748.000
301.282243000,788.000,.002,893.000,1681.002,1698.000
301.282243000,789.000,.002,911.000,1700.002,1721.000
