FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E latency,StepRuntime
301.282243000,788.000,.003,1421.000,2209.003,2229.000
301.282243000,783.000,.003,916.000,1699.003,1718.000
301.282243000,797.000,.002,1025.000,1822.002,1838.000
301.282243000,783.000,.002,994.000,1777.002,1793.000
301.282243000,795.000,.003,990.000,1785.003,1804.000
301.282243000,775.000,.003,954.000,1729.003,1749.000
301.282243000,780.000,.003,921.000,1701.003,1720.000
301.282243000,783.000,.004,927.000,1710.004,1729.000
301.282243000,768.000,.003,958.000,1726.003,1744.000
301.282243000,771.000,.003,925.000,1696.003,1716.000
301.282243000,782.000,.003,907.000,1689.003,1708.000
301.282243000,784.000,.002,968.000,1752.002,1769.000
301.282243000,781.000,.002,899.000,1680.002,1697.000
301.282243000,773.000,.002,923.000,1696.002,1713.000
301.282243000,793.000,.003,926.000,1719.003,1737.000
301.282243000,789.000,.002,950.000,1739.002,1755.000
301.282243000,779.000,.003,898.000,1677.003,1696.000
301.282243000,778.000,.002,900.000,1678.002,1697.000
301.282243000,798.000,.003,929.000,1727.003,1745.000
301.282243000,786.000,.003,950.000,1736.003,1753.000
301.282243000,786.000,.004,908.000,1694.004,1715.000
301.282243000,779.000,.003,898.000,1677.003,1697.000
301.282243000,787.000,.002,1030.000,1817.002,1835.000
301.282243000,797.000,.002,985.000,1782.002,1800.000
301.282243000,773.000,.004,949.000,1722.004,1742.000
301.282243000,798.000,.002,904.000,1702.002,1720.000
301.282243000,780.000,.005,932.000,1712.005,1732.000
301.282243000,794.000,.002,982.000,1776.002,1794.000
301.282243000,785.000,.002,954.000,1739.002,1758.000
301.282243000,783.000,.002,901.000,1684.002,1702.000
301.282243000,792.000,.003,937.000,1729.003,1746.000
301.282243000,792.000,.005,983.000,1775.005,1795.000
301.282243000,779.000,.003,971.000,1750.003,1768.000
301.282243000,797.000,.002,953.000,1750.002,1767.000
301.282243000,781.000,.003,902.000,1683.003,1702.000
301.282243000,772.000,.004,908.000,1680.004,1700.000
301.282243000,766.000,.002,1.000,767.002,784.000
301.282243000,780.000,.004,908.000,1688.004,1709.000
301.282243000,773.000,.002,968.000,1741.002,1757.000
301.282243000,787.000,.002,949.000,1736.002,1751.000
301.282243000,787.000,.002,941.000,1728.002,1745.000
