GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
11534.000,48.964222000,.084,5.223036000,21521.000,33109.271258000,52705.000
6292.000,48.964222000,.028,5.223036000,31860.000,38206.215258000,56787.000
2105.000,48.964222000,.070,5.223036000,34020.000,36179.257258000,53620.000
11708.000,48.964222000,.161,5.223036000,20413.000,32175.348258000,63844.000
2274.000,48.964222000,.071,5.223036000,22489.000,24817.258258000,45972.000
3882.000,48.964222000,.165,5.223036000,18982.000,22918.352258000,55667.000
4730.000,48.964222000,.134,5.223036000,29303.000,34087.321258000,61029.000
14707.000,48.964222000,.116,5.223036000,23337.000,38098.303258000,59545.000
2755.000,48.964222000,.333,5.223036000,24674.000,27483.520258000,52345.000
2640.000,48.964222000,.167,5.223036000,19575.000,22269.354258000,47792.000
2740.000,48.964222000,.333,5.223036000,22203.000,24997.520258000,69872.000
6054.000,48.964222000,.102,5.223036000,19656.000,25764.289258000,52938.000
2227.000,48.964222000,.143,5.223036000,17544.000,19825.330258000,60416.000
2082.000,48.964222000,.143,5.223036000,19172.000,21308.330258000,58002.000
2161.000,48.964222000,.265,5.223036000,20555.000,22770.452258000,61069.000
13844.000,48.964222000,.100,5.223036000,18561.000,32459.287258000,65857.000
5694.000,48.964222000,.169,5.223036000,18791.000,24539.356258000,54905.000
3962.000,48.964222000,.117,5.223036000,24110.000,28126.304258000,67830.000
7751.000,48.964222000,.126,5.223036000,21575.000,29380.313258000,73316.000
4488.000,48.964222000,.174,5.223036000,17254.000,21796.361258000,88640.000
3456.000,48.964222000,.518,5.223036000,21516.000,25026.705258000,57582.000
6545.000,48.964222000,.118,5.223036000,25993.000,32592.305258000,78947.000
14674.000,48.964222000,.166,5.223036000,29436.000,44164.353258000,87454.000
19004.000,48.964222000,.957,5.223036000,21647.000,40706.144258000,114572.000
4006.000,48.964222000,.374,5.223036000,24019.000,28079.561258000,77913.000
13383.000,48.964222000,.796,5.223036000,24384.000,37821.983258000,110623.000
19055.000,48.964222000,.549,5.223036000,24275.000,43384.736258000,152247.000
17746.000,48.964222000,.133,5.223036000,22771.000,40571.320258000,114608.000
15272.000,48.964222000,.283,5.223036000,35854.000,51180.470258000,148156.000
18178.000,48.964222000,.134,5.223036000,18167.000,36399.321258000,92699.000
3864.000,48.964222000,.102,5.223036000,17724.000,21642.289258000,53585.000
3149.000,48.964222000,.067,5.223036000,20831.000,24034.254258000,47138.000
2390.000,48.964222000,.559,5.223036000,20399.000,22843.746258000,64767.000
2640.000,48.964222000,.142,5.223036000,18783.000,21477.329258000,50562.000
5084.000,48.964222000,.194,5.223036000,19382.000,24520.381258000,57236.000
2701.000,48.964222000,.192,5.223036000,22639.000,25394.379258000,47630.000
9650.000,48.964222000,.130,5.223036000,2.000,9706.317258000,29505.000
19070.000,48.964222000,.084,5.223036000,16992.000,36116.271258000,66875.000
2000.000,48.964222000,.159,5.223036000,19099.000,21153.346258000,48268.000
2906.000,48.964222000,.083,5.223036000,17616.000,20576.270258000,58966.000
2616.000,48.964222000,.228,5.223036000,19073.000,21743.415258000,73933.000
6346.000,48.964222000,.083,5.223036000,25072.000,31472.270258000,68470.000
6070.000,48.964222000,.175,5.223036000,29403.000,35527.362258000,75035.000
16263.000,48.964222000,.975,5.223036000,19456.000,35774.162258000,79841.000
2941.000,48.964222000,.275,5.223036000,20358.000,23353.462258000,62554.000
2702.000,48.964222000,.408,5.223036000,18774.000,21530.595258000,68900.000
4531.000,48.964222000,.158,5.223036000,25399.000,29984.345258000,108247.000
10716.000,48.964222000,.100,5.223036000,29608.000,40378.287258000,95626.000
6494.000,48.964222000,.310,5.223036000,20600.000,27148.497258000,63682.000
9703.000,48.964222000,.500,5.223036000,21836.000,31593.687258000,75697.000
5467.000,48.964222000,.217,5.223036000,32251.000,37772.404258000,107668.000
4637.000,48.964222000,.925,5.223036000,20374.000,25066.112258000,84253.000
6819.000,48.964222000,1.116,5.223036000,35186.000,42060.303258000,109636.000
19136.000,48.964222000,.259,5.223036000,26325.000,45515.446258000,126440.000
26245.000,48.964222000,.325,5.223036000,30417.000,56716.512258000,207731.000
29949.000,48.964222000,.401,5.223036000,36828.000,66831.588258000,216752.000
27760.000,48.964222000,1.145,5.223036000,28657.000,56472.332258000,360024.000
50594.000,48.964222000,.901,5.223036000,109108.000,159757.088258000,12492073.000
437652.000,48.964222000,.036,5.223036000,36529.000,474235.223258000,36086327.000
