GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
799.000,73.863669000,.003,5.223036000,921.000,1799.089705000,4549.000
804.000,73.863669000,.003,5.223036000,974.000,1857.089705000,4595.000
794.000,73.863669000,.003,5.223036000,955.000,1828.089705000,4569.000
802.000,73.863669000,.003,5.223036000,959.000,1840.089705000,4586.000
813.000,73.863669000,.003,5.223036000,899.000,1791.089705000,4502.000
806.000,73.863669000,.003,5.223036000,906.000,1791.089705000,4526.000
808.000,73.863669000,.003,5.223036000,983.000,1870.089705000,4605.000
808.000,73.863669000,.004,5.223036000,913.000,1800.090705000,4564.000
802.000,73.863669000,.003,5.223036000,922.000,1803.089705000,4512.000
783.000,73.863669000,.002,5.223036000,941.000,1803.088705000,4553.000
807.000,73.863669000,.002,5.223036000,908.000,1794.088705000,4553.000
795.000,73.863669000,.003,5.223036000,929.000,1803.089705000,4547.000
796.000,73.863669000,.003,5.223036000,928.000,1803.089705000,4504.000
802.000,73.863669000,.003,5.223036000,981.000,1862.089705000,4603.000
810.000,73.863669000,.002,5.223036000,915.000,1804.088705000,4546.000
793.000,73.863669000,.003,5.223036000,905.000,1777.089705000,4511.000
794.000,73.863669000,.003,5.223036000,966.000,1839.089705000,4622.000
798.000,73.863669000,.004,5.223036000,986.000,1863.090705000,4604.000
808.000,73.863669000,.004,5.223036000,957.000,1844.090705000,4593.000
800.000,73.863669000,.002,5.223036000,989.000,1868.088705000,4637.000
811.000,73.863669000,.003,5.223036000,973.000,1863.089705000,4595.000
795.000,73.863669000,.003,5.223036000,959.000,1833.089705000,4575.000
812.000,73.863669000,.003,5.223036000,963.000,1854.089705000,4578.000
804.000,73.863669000,.004,5.223036000,914.000,1797.090705000,4558.000
795.000,73.863669000,.003,5.223036000,926.000,1800.089705000,4576.000
805.000,73.863669000,.003,5.223036000,918.000,1802.089705000,4571.000
803.000,73.863669000,.003,5.223036000,900.000,1782.089705000,4507.000
806.000,73.863669000,.003,5.223036000,937.000,1822.089705000,4557.000
795.000,73.863669000,.003,5.223036000,979.000,1853.089705000,4596.000
807.000,73.863669000,.003,5.223036000,983.000,1869.089705000,4611.000
808.000,73.863669000,.003,5.223036000,907.000,1794.089705000,4571.000
803.000,73.863669000,.004,5.223036000,918.000,1800.090705000,4504.000
785.000,73.863669000,.002,5.223036000,986.000,1850.088705000,4625.000
798.000,73.863669000,.002,5.223036000,995.000,1872.088705000,4613.000
805.000,73.863669000,.003,5.223036000,957.000,1841.089705000,4559.000
800.000,73.863669000,.003,5.223036000,915.000,1794.089705000,4594.000
791.000,73.863669000,.003,5.223036000,2.000,872.089705000,3628.000
821.000,73.863669000,.003,5.223036000,913.000,1813.089705000,4560.000
808.000,73.863669000,.004,5.223036000,912.000,1799.090705000,4608.000
786.000,73.863669000,.002,5.223036000,916.000,1781.088705000,4518.000
805.000,73.863669000,.002,5.223036000,953.000,1837.088705000,4586.000
794.000,73.863669000,.002,5.223036000,897.000,1770.088705000,4491.000
800.000,73.863669000,.003,5.223036000,907.000,1786.089705000,4524.000
788.000,73.863669000,.003,5.223036000,938.000,1805.089705000,4540.000
807.000,73.863669000,.002,5.223036000,974.000,1860.088705000,4573.000
797.000,73.863669000,.003,5.223036000,908.000,1784.089705000,4576.000
785.000,73.863669000,.003,5.223036000,836.000,1700.089705000,4450.000
797.000,73.863669000,.002,5.223036000,972.000,1848.088705000,4609.000
796.000,73.863669000,.002,5.223036000,951.000,1826.088705000,4549.000
804.000,73.863669000,.003,5.223036000,956.000,1839.089705000,4627.000
795.000,73.863669000,.003,5.223036000,974.000,1848.089705000,4600.000
786.000,73.863669000,.003,5.223036000,967.000,1832.089705000,4601.000
808.000,73.863669000,.002,5.223036000,910.000,1797.088705000,4571.000
803.000,73.863669000,.003,5.223036000,923.000,1805.089705000,4613.000
809.000,73.863669000,.003,5.223036000,987.000,1875.089705000,4653.000
790.000,73.863669000,.003,5.223036000,945.000,1814.089705000,4604.000
801.000,73.863669000,.003,5.223036000,898.000,1778.089705000,4546.000
793.000,73.863669000,.003,5.223036000,962.000,1834.089705000,4612.000
797.000,73.863669000,.003,5.223036000,992.000,1868.089705000,4646.000
808.000,73.863669000,.002,5.223036000,907.000,1794.088705000,4545.000
811.000,73.863669000,.003,5.223036000,921.000,1811.089705000,4562.000
807.000,73.863669000,.002,5.223036000,959.000,1845.088705000,4571.000
796.000,73.863669000,.003,5.223036000,909.000,1784.089705000,4582.000
791.000,73.863669000,.003,5.223036000,951.000,1821.089705000,4594.000
817.000,73.863669000,.003,5.223036000,2.000,898.089705000,3651.000
801.000,73.863669000,.002,5.223036000,982.000,1862.088705000,4601.000
798.000,73.863669000,.004,5.223036000,959.000,1836.090705000,4663.000
806.000,73.863669000,.003,5.223036000,987.000,1872.089705000,4650.000
811.000,73.863669000,.003,5.223036000,922.000,1812.089705000,4594.000
793.000,73.863669000,.002,5.223036000,983.000,1855.088705000,4608.000
813.000,73.863669000,.003,5.223036000,911.000,1803.089705000,4557.000
807.000,73.863669000,.003,5.223036000,909.000,1795.089705000,4588.000
791.000,73.863669000,.003,5.223036000,928.000,1798.089705000,4563.000
809.000,73.863669000,.003,5.223036000,983.000,1871.089705000,4600.000
794.000,73.863669000,.003,5.223036000,1025.000,1898.089705000,4707.000
806.000,73.863669000,.003,5.223036000,912.000,1797.089705000,4540.000
799.000,73.863669000,.002,5.223036000,909.000,1787.088705000,4606.000
806.000,73.863669000,.002,5.223036000,947.000,1832.088705000,4606.000
796.000,73.863669000,.003,5.223036000,929.000,1804.089705000,4553.000
789.000,73.863669000,.004,5.223036000,996.000,1864.090705000,4604.000
796.000,73.863669000,.003,5.223036000,911.000,1786.089705000,4551.000
799.000,73.863669000,.003,5.223036000,932.000,1810.089705000,4556.000
803.000,73.863669000,.003,5.223036000,995.000,1877.089705000,4600.000
782.000,73.863669000,.003,5.223036000,905.000,1766.089705000,4553.000
812.000,73.863669000,.002,5.223036000,960.000,1851.088705000,4628.000
813.000,73.863669000,.003,5.223036000,933.000,1825.089705000,4626.000
808.000,73.863669000,.003,5.223036000,914.000,1801.089705000,4546.000
