GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
803.000,73.863669000,.003,5.223036000,977.000,1859.089705000,4561.000
800.000,73.863669000,.003,5.223036000,911.000,1790.089705000,4545.000
806.000,73.863669000,.003,5.223036000,898.000,1783.089705000,4501.000
808.000,73.863669000,.003,5.223036000,953.000,1840.089705000,4609.000
798.000,73.863669000,.003,5.223036000,926.000,1803.089705000,4587.000
797.000,73.863669000,.003,5.223036000,1026.000,1902.089705000,4663.000
804.000,73.863669000,.003,5.223036000,971.000,1854.089705000,4604.000
793.000,73.863669000,.003,5.223036000,962.000,1834.089705000,4566.000
814.000,73.863669000,.003,5.223036000,967.000,1860.089705000,4598.000
783.000,73.863669000,.003,5.223036000,898.000,1760.089705000,4506.000
808.000,73.863669000,.002,5.223036000,892.000,1779.088705000,4569.000
796.000,73.863669000,.002,5.223036000,801.000,1676.088705000,4408.000
793.000,73.863669000,.002,5.223036000,915.000,1787.088705000,4522.000
804.000,73.863669000,.002,5.223036000,950.000,1833.088705000,4593.000
802.000,73.863669000,.002,5.223036000,1000.000,1881.088705000,4648.000
790.000,73.863669000,.003,5.223036000,984.000,1853.089705000,4602.000
809.000,73.863669000,.003,5.223036000,978.000,1866.089705000,4604.000
806.000,73.863669000,.003,5.223036000,909.000,1794.089705000,4542.000
794.000,73.863669000,.003,5.223036000,910.000,1783.089705000,4509.000
792.000,73.863669000,.003,5.223036000,917.000,1788.089705000,4523.000
795.000,73.863669000,.002,5.223036000,957.000,1831.088705000,4584.000
790.000,73.863669000,.003,5.223036000,905.000,1774.089705000,4515.000
789.000,73.863669000,.003,5.223036000,979.000,1847.089705000,4608.000
794.000,73.863669000,.003,5.223036000,902.000,1775.089705000,4504.000
806.000,73.863669000,.003,5.223036000,907.000,1792.089705000,4576.000
800.000,73.863669000,.002,5.223036000,980.000,1859.088705000,4666.000
795.000,73.863669000,.004,5.223036000,982.000,1856.090705000,4597.000
792.000,73.863669000,.002,5.223036000,955.000,1826.088705000,4569.000
795.000,73.863669000,.004,5.223036000,953.000,1827.090705000,4586.000
798.000,73.863669000,.003,5.223036000,943.000,1820.089705000,4543.000
813.000,73.863669000,.003,5.223036000,909.000,1801.089705000,4553.000
794.000,73.863669000,.003,5.223036000,898.000,1771.089705000,4495.000
796.000,73.863669000,.002,5.223036000,964.000,1839.088705000,4625.000
802.000,73.863669000,.003,5.223036000,909.000,1790.089705000,4577.000
803.000,73.863669000,.003,5.223036000,917.000,1799.089705000,4560.000
802.000,73.863669000,.002,5.223036000,1010.000,1891.088705000,4609.000
801.000,73.863669000,.003,5.223036000,1.000,881.089705000,3635.000
775.000,73.863669000,.004,5.223036000,897.000,1751.090705000,4512.000
808.000,73.863669000,.002,5.223036000,974.000,1861.088705000,4629.000
800.000,73.863669000,.003,5.223036000,973.000,1852.089705000,4634.000
788.000,73.863669000,.002,5.223036000,981.000,1848.088705000,4595.000
801.000,73.863669000,.003,5.223036000,969.000,1849.089705000,4644.000
804.000,73.863669000,.003,5.223036000,1003.000,1886.089705000,4660.000
801.000,73.863669000,.003,5.223036000,920.000,1800.089705000,4560.000
802.000,73.863669000,.003,5.223036000,974.000,1855.089705000,4638.000
786.000,73.863669000,.002,5.223036000,948.000,1813.088705000,4553.000
796.000,73.863669000,.003,5.223036000,942.000,1817.089705000,4558.000
800.000,73.863669000,.003,5.223036000,969.000,1848.089705000,4598.000
791.000,73.863669000,.003,5.223036000,907.000,1777.089705000,4544.000
798.000,73.863669000,.002,5.223036000,963.000,1840.088705000,4631.000
810.000,73.863669000,.003,5.223036000,978.000,1867.089705000,4628.000
792.000,73.863669000,.002,5.223036000,945.000,1816.088705000,4543.000
806.000,73.863669000,.003,5.223036000,958.000,1843.089705000,4613.000
791.000,73.863669000,.004,5.223036000,963.000,1833.090705000,4596.000
805.000,73.863669000,.003,5.223036000,991.000,1875.089705000,4666.000
793.000,73.863669000,.003,5.223036000,900.000,1772.089705000,4547.000
793.000,73.863669000,.003,5.223036000,903.000,1775.089705000,4612.000
785.000,73.863669000,.003,5.223036000,967.000,1831.089705000,4609.000
793.000,73.863669000,.003,5.223036000,968.000,1840.089705000,4611.000
791.000,73.863669000,.003,5.223036000,913.000,1783.089705000,4576.000
796.000,73.863669000,.004,5.223036000,990.000,1865.090705000,4651.000
795.000,73.863669000,.003,5.223036000,973.000,1847.089705000,4579.000
795.000,73.863669000,.003,5.223036000,962.000,1836.089705000,4602.000
799.000,73.863669000,.003,5.223036000,1026.000,1904.089705000,4632.000
804.000,73.863669000,.003,5.223036000,2.000,885.089705000,3658.000
809.000,73.863669000,.003,5.223036000,957.000,1845.089705000,4605.000
810.000,73.863669000,.003,5.223036000,989.000,1878.089705000,4635.000
807.000,73.863669000,.002,5.223036000,915.000,1801.088705000,4606.000
812.000,73.863669000,.002,5.223036000,913.000,1804.088705000,4560.000
801.000,73.863669000,.003,5.223036000,978.000,1858.089705000,4645.000
797.000,73.863669000,.004,5.223036000,892.000,1768.090705000,4544.000
807.000,73.863669000,.002,5.223036000,963.000,1849.088705000,4604.000
798.000,73.863669000,.003,5.223036000,931.000,1808.089705000,4598.000
798.000,73.863669000,.003,5.223036000,1034.000,1911.089705000,4663.000
804.000,73.863669000,.003,5.223036000,917.000,1800.089705000,4567.000
799.000,73.863669000,.003,5.223036000,966.000,1844.089705000,4590.000
789.000,73.863669000,.003,5.223036000,966.000,1834.089705000,4604.000
781.000,73.863669000,.003,5.223036000,963.000,1823.089705000,4600.000
797.000,73.863669000,.003,5.223036000,962.000,1838.089705000,4622.000
808.000,73.863669000,.003,5.223036000,915.000,1802.089705000,4572.000
804.000,73.863669000,.003,5.223036000,963.000,1846.089705000,4622.000
797.000,73.863669000,.003,5.223036000,958.000,1834.089705000,4580.000
801.000,73.863669000,.002,5.223036000,953.000,1833.088705000,4594.000
795.000,73.863669000,.003,5.223036000,972.000,1846.089705000,4604.000
796.000,73.863669000,.002,5.223036000,945.000,1820.088705000,4607.000
795.000,73.863669000,.003,5.223036000,970.000,1844.089705000,4607.000
789.000,73.863669000,.002,5.223036000,959.000,1827.088705000,4593.000
803.000,73.863669000,.002,5.223036000,976.000,1858.088705000,4653.000
808.000,73.863669000,.004,5.223036000,916.000,1803.090705000,4576.000
812.000,73.863669000,.002,5.223036000,1023.000,1914.088705000,4732.000
800.000,73.863669000,.003,5.223036000,902.000,1781.089705000,4543.000
807.000,73.863669000,.003,5.223036000,966.000,1852.089705000,4629.000
793.000,73.863669000,.003,5.223036000,987.000,1859.089705000,4628.000
802.000,73.863669000,.003,5.223036000,1020.000,1901.089705000,4706.000
802.000,73.863669000,.004,5.223036000,909.000,1790.090705000,4549.000
804.000,73.863669000,.003,5.223036000,970.000,1853.089705000,4608.000
803.000,73.863669000,.004,5.223036000,954.000,1836.090705000,4600.000
799.000,73.863669000,.003,5.223036000,909.000,1787.089705000,4507.000
805.000,73.863669000,.004,5.223036000,914.000,1798.090705000,4586.000
796.000,73.863669000,.004,5.223036000,1476.000,2351.090705000,5110.000
801.000,73.863669000,.002,5.223036000,1027.000,1907.088705000,4659.000
811.000,73.863669000,.004,5.223036000,898.000,1788.090705000,4535.000
801.000,73.863669000,.002,5.223036000,971.000,1851.088705000,4666.000
800.000,73.863669000,.003,5.223036000,951.000,1830.089705000,4567.000
804.000,73.863669000,.003,5.223036000,930.000,1813.089705000,4602.000
