GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
809.000,73.863669000,.003,5.223036000,968.000,1856.089705000,4587.000
793.000,73.863669000,.003,5.223036000,975.000,1847.089705000,4556.000
792.000,73.863669000,.003,5.223036000,1419.000,2290.089705000,5052.000
787.000,73.863669000,.003,5.223036000,934.000,1800.089705000,4552.000
791.000,73.863669000,.003,5.223036000,981.000,1851.089705000,4599.000
800.000,73.863669000,.003,5.223036000,947.000,1826.089705000,4609.000
801.000,73.863669000,.003,5.223036000,965.000,1845.089705000,4560.000
814.000,73.863669000,.003,5.223036000,958.000,1851.089705000,4591.000
815.000,73.863669000,.002,5.223036000,922.000,1816.088705000,4542.000
805.000,73.863669000,.003,5.223036000,918.000,1802.089705000,4582.000
809.000,73.863669000,.003,5.223036000,917.000,1805.089705000,4581.000
798.000,73.863669000,.002,5.223036000,908.000,1785.088705000,4496.000
813.000,73.863669000,.003,5.223036000,972.000,1864.089705000,4620.000
795.000,73.863669000,.003,5.223036000,959.000,1833.089705000,4577.000
802.000,73.863669000,.003,5.223036000,961.000,1842.089705000,4600.000
793.000,73.863669000,.003,5.223036000,919.000,1791.089705000,4528.000
811.000,73.863669000,.003,5.223036000,964.000,1854.089705000,4574.000
796.000,73.863669000,.003,5.223036000,908.000,1783.089705000,4511.000
785.000,73.863669000,.003,5.223036000,940.000,1804.089705000,4555.000
798.000,73.863669000,.003,5.223036000,923.000,1800.089705000,4553.000
814.000,73.863669000,.003,5.223036000,973.000,1866.089705000,4619.000
806.000,73.863669000,.002,5.223036000,982.000,1867.088705000,4633.000
810.000,73.863669000,.002,5.223036000,965.000,1854.088705000,4597.000
812.000,73.863669000,.003,5.223036000,908.000,1799.089705000,4568.000
793.000,73.863669000,.002,5.223036000,989.000,1861.088705000,4639.000
811.000,73.863669000,.004,5.223036000,955.000,1845.090705000,4641.000
797.000,73.863669000,.003,5.223036000,906.000,1782.089705000,4533.000
799.000,73.863669000,.003,5.223036000,974.000,1852.089705000,4603.000
786.000,73.863669000,.003,5.223036000,962.000,1827.089705000,4581.000
792.000,73.863669000,.003,5.223036000,962.000,1833.089705000,4607.000
801.000,73.863669000,.003,5.223036000,979.000,1859.089705000,4647.000
797.000,73.863669000,.003,5.223036000,959.000,1835.089705000,4562.000
790.000,73.863669000,.003,5.223036000,946.000,1815.089705000,4579.000
798.000,73.863669000,.003,5.223036000,959.000,1836.089705000,4609.000
805.000,73.863669000,.002,5.223036000,972.000,1856.088705000,4622.000
789.000,73.863669000,.003,5.223036000,985.000,1853.089705000,4634.000
807.000,73.863669000,.003,5.223036000,2.000,888.089705000,3666.000
809.000,73.863669000,.003,5.223036000,1020.000,1908.089705000,4642.000
801.000,73.863669000,.003,5.223036000,949.000,1829.089705000,4553.000
793.000,73.863669000,.002,5.223036000,956.000,1828.088705000,4587.000
806.000,73.863669000,.003,5.223036000,916.000,1801.089705000,4557.000
800.000,73.863669000,.002,5.223036000,921.000,1800.088705000,4503.000
802.000,73.863669000,.003,5.223036000,920.000,1801.089705000,4602.000
780.000,73.863669000,.003,5.223036000,958.000,1817.089705000,4554.000
803.000,73.863669000,.002,5.223036000,962.000,1844.088705000,4604.000
815.000,73.863669000,.003,5.223036000,916.000,1810.089705000,4551.000
797.000,73.863669000,.002,5.223036000,913.000,1789.088705000,4544.000
792.000,73.863669000,.003,5.223036000,923.000,1794.089705000,4534.000
802.000,73.863669000,.003,5.223036000,985.000,1866.089705000,4640.000
813.000,73.863669000,.003,5.223036000,967.000,1859.089705000,4650.000
806.000,73.863669000,.002,5.223036000,969.000,1854.088705000,4607.000
808.000,73.863669000,.004,5.223036000,972.000,1859.090705000,4614.000
804.000,73.863669000,.004,5.223036000,910.000,1793.090705000,4569.000
797.000,73.863669000,.003,5.223036000,938.000,1814.089705000,4561.000
799.000,73.863669000,.003,5.223036000,908.000,1786.089705000,4555.000
794.000,73.863669000,.003,5.223036000,955.000,1828.089705000,4589.000
794.000,73.863669000,.003,5.223036000,955.000,1828.089705000,4604.000
797.000,73.863669000,.003,5.223036000,931.000,1807.089705000,4563.000
789.000,73.863669000,.002,5.223036000,914.000,1782.088705000,4561.000
797.000,73.863669000,.003,5.223036000,963.000,1839.089705000,4602.000
794.000,73.863669000,.003,5.223036000,957.000,1830.089705000,4593.000
795.000,73.863669000,.003,5.223036000,957.000,1831.089705000,4590.000
791.000,73.863669000,.002,5.223036000,968.000,1838.088705000,4611.000
