GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
794.000,73.863669000,.003,5.223036000,906.000,1779.089705000,4525.000
804.000,73.863669000,.003,5.223036000,958.000,1841.089705000,4591.000
810.000,73.863669000,.002,5.223036000,953.000,1842.088705000,4654.000
804.000,73.863669000,.002,5.223036000,1031.000,1914.088705000,4703.000
816.000,73.863669000,.004,5.223036000,959.000,1854.090705000,4660.000
816.000,73.863669000,.006,5.223036000,990.000,1885.092705000,4645.000
810.000,73.863669000,.003,5.223036000,1034.000,1923.089705000,4709.000
795.000,73.863669000,.004,5.223036000,976.000,1850.090705000,4595.000
810.000,73.863669000,.004,5.223036000,914.000,1803.090705000,4554.000
798.000,73.863669000,.003,5.223036000,964.000,1841.089705000,4595.000
802.000,73.863669000,.002,5.223036000,967.000,1848.088705000,4591.000
826.000,73.863669000,.003,5.223036000,952.000,1857.089705000,4696.000
800.000,73.863669000,.003,5.223036000,931.000,1810.089705000,4564.000
812.000,73.863669000,.002,5.223036000,967.000,1858.088705000,4632.000
806.000,73.863669000,.003,5.223036000,938.000,1823.089705000,4570.000
793.000,73.863669000,.002,5.223036000,911.000,1783.088705000,4561.000
798.000,73.863669000,.004,5.223036000,979.000,1856.090705000,4601.000
787.000,73.863669000,.003,5.223036000,995.000,1861.089705000,4639.000
799.000,73.863669000,.004,5.223036000,970.000,1848.090705000,4577.000
799.000,73.863669000,.003,5.223036000,927.000,1805.089705000,4594.000
791.000,73.863669000,.004,5.223036000,926.000,1796.090705000,4573.000
793.000,73.863669000,.004,5.223036000,959.000,1831.090705000,4595.000
797.000,73.863669000,.003,5.223036000,968.000,1844.089705000,4629.000
802.000,73.863669000,.005,5.223036000,962.000,1843.091705000,4597.000
803.000,73.863669000,.003,5.223036000,910.000,1792.089705000,4590.000
786.000,73.863669000,.004,5.223036000,922.000,1787.090705000,4543.000
820.000,73.863669000,.004,5.223036000,960.000,1859.090705000,4651.000
788.000,73.863669000,.003,5.223036000,920.000,1787.089705000,4561.000
786.000,73.863669000,.004,5.223036000,928.000,1793.090705000,4604.000
794.000,73.863669000,.004,5.223036000,900.000,1773.090705000,4542.000
805.000,73.863669000,.004,5.223036000,958.000,1842.090705000,4619.000
802.000,73.863669000,.003,5.223036000,965.000,1846.089705000,4601.000
793.000,73.863669000,.003,5.223036000,963.000,1835.089705000,4591.000
798.000,73.863669000,.004,5.223036000,920.000,1797.090705000,4546.000
802.000,73.863669000,.003,5.223036000,972.000,1853.089705000,4638.000
801.000,73.863669000,.003,5.223036000,923.000,1803.089705000,4525.000
797.000,73.863669000,.004,5.223036000,2.000,878.090705000,3632.000
797.000,73.863669000,.004,5.223036000,931.000,1807.090705000,4609.000
792.000,73.863669000,.007,5.223036000,980.000,1851.093705000,4600.000
801.000,73.863669000,.003,5.223036000,935.000,1815.089705000,4593.000
808.000,73.863669000,.004,5.223036000,975.000,1862.090705000,4612.000
786.000,73.863669000,.004,5.223036000,905.000,1770.090705000,4533.000
792.000,73.863669000,.004,5.223036000,951.000,1822.090705000,4599.000
796.000,73.863669000,.004,5.223036000,1031.000,1906.090705000,4666.000
807.000,73.863669000,.006,5.223036000,935.000,1821.092705000,4597.000
800.000,73.863669000,.003,5.223036000,908.000,1787.089705000,4545.000
803.000,73.863669000,.003,5.223036000,966.000,1848.089705000,4623.000
792.000,73.863669000,.003,5.223036000,954.000,1825.089705000,4567.000
814.000,73.863669000,.004,5.223036000,934.000,1827.090705000,4553.000
804.000,73.863669000,.003,5.223036000,937.000,1820.089705000,4601.000
810.000,73.863669000,.003,5.223036000,931.000,1820.089705000,4563.000
806.000,73.863669000,.004,5.223036000,970.000,1855.090705000,4614.000
804.000,73.863669000,.004,5.223036000,933.000,1816.090705000,4630.000
807.000,73.863669000,.004,5.223036000,912.000,1798.090705000,4541.000
811.000,73.863669000,.004,5.223036000,981.000,1871.090705000,4656.000
805.000,73.863669000,.004,5.223036000,903.000,1787.090705000,4559.000
797.000,73.863669000,.004,5.223036000,958.000,1834.090705000,4583.000
810.000,73.863669000,.003,5.223036000,919.000,1808.089705000,4612.000
794.000,73.863669000,.004,5.223036000,918.000,1791.090705000,4626.000
789.000,73.863669000,.004,5.223036000,926.000,1794.090705000,4582.000
796.000,73.863669000,.005,5.223036000,988.000,1863.091705000,4642.000
797.000,73.863669000,.004,5.223036000,978.000,1854.090705000,4597.000
800.000,73.863669000,.003,5.223036000,906.000,1785.089705000,4553.000
786.000,73.863669000,.003,5.223036000,1021.000,1886.089705000,4655.000
812.000,73.863669000,.004,5.223036000,1.000,892.090705000,3673.000
800.000,73.863669000,.002,5.223036000,908.000,1787.088705000,4577.000
790.000,73.863669000,.005,5.223036000,1019.000,1888.091705000,4651.000
788.000,73.863669000,.005,5.223036000,940.000,1807.091705000,4595.000
794.000,73.863669000,.003,5.223036000,904.000,1777.089705000,4549.000
801.000,73.863669000,.005,5.223036000,908.000,1788.091705000,4521.000
806.000,73.863669000,.004,5.223036000,986.000,1871.090705000,4634.000
817.000,73.863669000,.004,5.223036000,899.000,1795.090705000,4544.000
802.000,73.863669000,.003,5.223036000,976.000,1857.089705000,4625.000
807.000,73.863669000,.005,5.223036000,964.000,1850.091705000,4632.000
802.000,73.863669000,.004,5.223036000,962.000,1843.090705000,4646.000
800.000,73.863669000,.003,5.223036000,968.000,1847.089705000,4649.000
796.000,73.863669000,.004,5.223036000,953.000,1828.090705000,4554.000
794.000,73.863669000,.006,5.223036000,910.000,1783.092705000,4589.000
801.000,73.863669000,.003,5.223036000,968.000,1848.089705000,4622.000
801.000,73.863669000,.002,5.223036000,910.000,1790.088705000,4584.000
796.000,73.863669000,.003,5.223036000,937.000,1812.089705000,4551.000
803.000,73.863669000,.003,5.223036000,918.000,1800.089705000,4552.000
799.000,73.863669000,.004,5.223036000,965.000,1843.090705000,4651.000
798.000,73.863669000,.002,5.223036000,966.000,1843.088705000,4661.000
792.000,73.863669000,.003,5.223036000,984.000,1855.089705000,4644.000
792.000,73.863669000,.003,5.223036000,904.000,1775.089705000,4561.000
793.000,73.863669000,.003,5.223036000,963.000,1835.089705000,4588.000
800.000,73.863669000,.004,5.223036000,916.000,1795.090705000,4605.000
798.000,73.863669000,.004,5.223036000,969.000,1846.090705000,4612.000
803.000,73.863669000,.004,5.223036000,993.000,1875.090705000,4644.000
789.000,73.863669000,.004,5.223036000,889.000,1757.090705000,4543.000
796.000,73.863669000,.003,5.223036000,997.000,1872.089705000,4652.000
800.000,73.863669000,.004,5.223036000,918.000,1797.090705000,4579.000
801.000,73.863669000,.004,5.223036000,997.000,1877.090705000,4624.000
810.000,73.863669000,.004,5.223036000,906.000,1795.090705000,4572.000
826.000,73.863669000,.004,5.223036000,937.000,1842.090705000,4629.000
810.000,73.863669000,.003,5.223036000,913.000,1802.089705000,4551.000
805.000,73.863669000,.004,5.223036000,920.000,1804.090705000,4593.000
799.000,73.863669000,.004,5.223036000,951.000,1829.090705000,4603.000
789.000,73.863669000,.004,5.223036000,1023.000,1891.090705000,4658.000
802.000,73.863669000,.003,5.223036000,930.000,1811.089705000,4603.000
800.000,73.863669000,.004,5.223036000,922.000,1801.090705000,4590.000
811.000,73.863669000,.003,5.223036000,989.000,1879.089705000,4601.000
790.000,73.863669000,.003,5.223036000,916.000,1785.089705000,4549.000
809.000,73.863669000,.003,5.223036000,932.000,1820.089705000,4560.000
805.000,73.863669000,.003,5.223036000,916.000,1800.089705000,4558.000
802.000,73.863669000,.003,5.223036000,969.000,1850.089705000,4641.000
812.000,73.863669000,.003,5.223036000,928.000,1819.089705000,4598.000
799.000,73.863669000,.004,5.223036000,946.000,1824.090705000,4603.000
789.000,73.863669000,.002,5.223036000,1.000,869.088705000,3671.000
798.000,73.863669000,.003,5.223036000,979.000,1856.089705000,4637.000
808.000,73.863669000,.002,5.223036000,934.000,1821.088705000,4598.000
802.000,73.863669000,.003,5.223036000,935.000,1816.089705000,4601.000
786.000,73.863669000,.002,5.223036000,906.000,1771.088705000,4554.000
797.000,73.863669000,.003,5.223036000,972.000,1848.089705000,4621.000
803.000,73.863669000,.003,5.223036000,923.000,1805.089705000,4571.000
795.000,73.863669000,.002,5.223036000,910.000,1784.088705000,4604.000
807.000,73.863669000,.003,5.223036000,958.000,1844.089705000,4610.000
798.000,73.863669000,.003,5.223036000,977.000,1854.089705000,4655.000
797.000,73.863669000,.003,5.223036000,976.000,1852.089705000,4601.000
807.000,73.863669000,.003,5.223036000,963.000,1849.089705000,4663.000
805.000,73.863669000,.003,5.223036000,1.000,885.089705000,3666.000
799.000,73.863669000,.004,5.223036000,966.000,1844.090705000,4603.000
798.000,73.863669000,.003,5.223036000,946.000,1823.089705000,4616.000
808.000,73.863669000,.003,5.223036000,967.000,1854.089705000,4599.000
782.000,73.863669000,.003,5.223036000,1027.000,1888.089705000,4648.000
812.000,73.863669000,.003,5.223036000,917.000,1808.089705000,4552.000
817.000,73.863669000,.003,5.223036000,978.000,1874.089705000,4642.000
796.000,73.863669000,.003,5.223036000,935.000,1810.089705000,4606.000
809.000,73.863669000,.003,5.223036000,921.000,1809.089705000,4580.000
803.000,73.863669000,.003,5.223036000,979.000,1861.089705000,4630.000
801.000,73.863669000,.002,5.223036000,980.000,1860.088705000,4605.000
796.000,73.863669000,.002,5.223036000,968.000,1843.088705000,4662.000
807.000,73.863669000,.003,5.223036000,960.000,1846.089705000,4580.000
789.000,73.863669000,.003,5.223036000,928.000,1796.089705000,4562.000
803.000,73.863669000,.003,5.223036000,909.000,1791.089705000,4565.000
794.000,73.863669000,.002,5.223036000,989.000,1862.088705000,4641.000
801.000,73.863669000,.003,5.223036000,969.000,1849.089705000,4601.000
796.000,73.863669000,.003,5.223036000,1026.000,1901.089705000,4703.000
801.000,73.863669000,.003,5.223036000,905.000,1785.089705000,4572.000
806.000,73.863669000,.004,5.223036000,900.000,1785.090705000,4569.000
808.000,73.863669000,.003,5.223036000,961.000,1848.089705000,4597.000
812.000,73.863669000,.003,5.223036000,985.000,1876.089705000,4663.000
821.000,73.863669000,.002,5.223036000,935.000,1835.088705000,4605.000
