GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
830.000,8.755174000,.003,12.890177000,951.000,1802.648351000,3022.000
817.000,8.755174000,.002,12.890177000,1012.000,1850.647351000,3091.000
812.000,8.755174000,.003,12.890177000,1028.000,1861.648351000,3057.000
827.000,8.755174000,.003,12.890177000,962.000,1810.648351000,3000.000
831.000,8.755174000,.003,12.890177000,1011.000,1863.648351000,3049.000
854.000,8.755174000,.003,12.890177000,1023.000,1898.648351000,3126.000
825.000,8.755174000,.002,12.890177000,953.000,1799.647351000,2970.000
811.000,8.755174000,.003,12.890177000,1025.000,1857.648351000,3170.000
835.000,8.755174000,.002,12.890177000,1060.000,1916.647351000,3100.000
823.000,8.755174000,.003,12.890177000,1002.000,1846.648351000,2999.000
814.000,8.755174000,.002,12.890177000,930.000,1765.647351000,2940.000
815.000,8.755174000,.003,12.890177000,935.000,1771.648351000,2928.000
825.000,8.755174000,.003,12.890177000,983.000,1829.648351000,2994.000
811.000,8.755174000,.004,12.890177000,1022.000,1854.649351000,3033.000
814.000,8.755174000,.003,12.890177000,978.000,1813.648351000,2964.000
821.000,8.755174000,.003,12.890177000,998.000,1840.648351000,3008.000
817.000,8.755174000,.002,12.890177000,979.000,1817.647351000,2986.000
818.000,8.755174000,.003,12.890177000,1053.000,1892.648351000,3045.000
831.000,8.755174000,.002,12.890177000,983.000,1835.647351000,3031.000
834.000,8.755174000,.003,12.890177000,1002.000,1857.648351000,3038.000
827.000,8.755174000,.003,12.890177000,957.000,1805.648351000,2975.000
823.000,8.755174000,.003,12.890177000,1032.000,1876.648351000,3046.000
807.000,8.755174000,.003,12.890177000,966.000,1794.648351000,3106.000
821.000,8.755174000,.003,12.890177000,1020.000,1862.648351000,3033.000
830.000,8.755174000,.002,12.890177000,962.000,1813.647351000,2972.000
831.000,8.755174000,.003,12.890177000,978.000,1830.648351000,3001.000
837.000,8.755174000,.002,12.890177000,1005.000,1863.647351000,3048.000
851.000,8.755174000,.003,12.890177000,987.000,1859.648351000,3016.000
827.000,8.755174000,.003,12.890177000,1018.000,1866.648351000,3032.000
824.000,8.755174000,.003,12.890177000,940.000,1785.648351000,2945.000
820.000,8.755174000,.004,12.890177000,992.000,1833.649351000,3008.000
826.000,8.755174000,.002,12.890177000,1041.000,1888.647351000,3048.000
819.000,8.755174000,.002,12.890177000,944.000,1784.647351000,2950.000
827.000,8.755174000,.002,12.890177000,1000.000,1848.647351000,2994.000
812.000,8.755174000,.002,12.890177000,956.000,1789.647351000,2952.000
828.000,8.755174000,.002,12.890177000,936.000,1785.647351000,2968.000
810.000,8.755174000,.002,12.890177000,1.000,832.647351000,1976.000
837.000,8.755174000,.003,12.890177000,945.000,1803.648351000,2999.000
823.000,8.755174000,.002,12.890177000,1057.000,1901.647351000,3063.000
821.000,8.755174000,.002,12.890177000,1068.000,1910.647351000,3099.000
833.000,8.755174000,.003,12.890177000,1064.000,1918.648351000,3099.000
846.000,8.755174000,.003,12.890177000,947.000,1814.648351000,2957.000
843.000,8.755174000,.002,12.890177000,989.000,1853.647351000,3002.000
