GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency
821.3958333333334,8.755173999999998,0.0028194444444444447,12.890176999999998,962.8819444444445,1805.9259482222221
821.7430555555555,8.755173999999998,0.0027083333333333334,12.890176999999998,965.4236111111111,1808.814726
823.0763888888889,8.755173999999998,0.0028819444444444444,12.890176999999998,960.9513888888889,1805.6760107222224
822.0208333333334,8.755173999999998,0.0028125000000000003,12.890176999999998,964.375,1808.0439968333333
824.9305555555555,8.755173999999998,0.0027291666666666666,12.890176999999998,960.5138888888889,1807.0925246111112
822.8819444444445,8.755173999999998,0.0028263888888888887,12.890176999999998,954.4375,1798.9676218333334
821.7083333333334,8.755173999999998,0.0028194444444444443,12.890176999999998,953.9097222222222,1797.266226
822.6527777777778,8.755173999999998,0.002777777777777778,12.890176999999998,961.7013888888889,1806.0022954444446
822.9652777777778,8.755173999999998,0.0027569444444444447,12.890176999999998,958.2430555555555,1802.8564412777778
824.0416666666666,8.755173999999998,0.002805555555555556,12.890176999999998,958.0625,1803.7523232222222
