GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
802.000,8.755174000,.003,12.890177000,998.000,1821.648351000,3006.000
813.000,8.755174000,.002,12.890177000,1065.000,1899.647351000,3055.000
824.000,8.755174000,.003,12.890177000,943.000,1788.648351000,2940.000
825.000,8.755174000,.003,12.890177000,988.000,1834.648351000,3015.000
799.000,8.755174000,.002,12.890177000,943.000,1763.647351000,2898.000
812.000,8.755174000,.002,12.890177000,1003.000,1836.647351000,3015.000
804.000,8.755174000,.002,12.890177000,998.000,1823.647351000,2984.000
842.000,8.755174000,.002,12.890177000,1003.000,1866.647351000,3018.000
820.000,8.755174000,.002,12.890177000,1023.000,1864.647351000,3031.000
824.000,8.755174000,.003,12.890177000,945.000,1790.648351000,2954.000
813.000,8.755174000,.003,12.890177000,989.000,1823.648351000,2983.000
808.000,8.755174000,.002,12.890177000,948.000,1777.647351000,2917.000
828.000,8.755174000,.003,12.890177000,951.000,1800.648351000,2941.000
839.000,8.755174000,.002,12.890177000,951.000,1811.647351000,2968.000
828.000,8.755174000,.003,12.890177000,988.000,1837.648351000,2989.000
853.000,8.755174000,.002,12.890177000,942.000,1816.647351000,3005.000
817.000,8.755174000,.004,12.890177000,1030.000,1868.649351000,3046.000
859.000,8.755174000,.003,12.890177000,986.000,1866.648351000,3045.000
827.000,8.755174000,.002,12.890177000,1004.000,1852.647351000,3023.000
837.000,8.755174000,.003,12.890177000,971.000,1829.648351000,2978.000
818.000,8.755174000,.003,12.890177000,1010.000,1849.648351000,3008.000
829.000,8.755174000,.003,12.890177000,952.000,1802.648351000,2995.000
821.000,8.755174000,.002,12.890177000,986.000,1828.647351000,2991.000
825.000,8.755174000,.002,12.890177000,994.000,1840.647351000,3026.000
828.000,8.755174000,.002,12.890177000,916.000,1765.647351000,2902.000
835.000,8.755174000,.003,12.890177000,958.000,1814.648351000,2997.000
801.000,8.755174000,.002,12.890177000,1030.000,1852.647351000,3036.000
848.000,8.755174000,.003,12.890177000,937.000,1806.648351000,2954.000
804.000,8.755174000,.003,12.890177000,996.000,1821.648351000,2990.000
829.000,8.755174000,.003,12.890177000,986.000,1836.648351000,2989.000
823.000,8.755174000,.002,12.890177000,962.000,1806.647351000,2966.000
834.000,8.755174000,.002,12.890177000,952.000,1807.647351000,2942.000
828.000,8.755174000,.003,12.890177000,961.000,1810.648351000,2962.000
813.000,8.755174000,.002,12.890177000,935.000,1769.647351000,2947.000
819.000,8.755174000,.003,12.890177000,1075.000,1915.648351000,3058.000
835.000,8.755174000,.003,12.890177000,921.000,1777.648351000,2945.000
811.000,8.755174000,.003,12.890177000,1.000,833.648351000,2002.000
822.000,8.755174000,.003,12.890177000,958.000,1801.648351000,2982.000
809.000,8.755174000,.003,12.890177000,1010.000,1840.648351000,3006.000
825.000,8.755174000,.003,12.890177000,998.000,1844.648351000,2994.000
818.000,8.755174000,.003,12.890177000,987.000,1826.648351000,3003.000
818.000,8.755174000,.003,12.890177000,966.000,1805.648351000,2968.000
831.000,8.755174000,.003,12.890177000,944.000,1796.648351000,2949.000
813.000,8.755174000,.003,12.890177000,1052.000,1886.648351000,3044.000
