GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
835.000,8.755174000,.003,12.890177000,951.000,1807.648351000,2951.000
829.000,8.755174000,.004,12.890177000,976.000,1826.649351000,2997.000
809.000,8.755174000,.003,12.890177000,1028.000,1858.648351000,3004.000
835.000,8.755174000,.003,12.890177000,945.000,1801.648351000,2966.000
825.000,8.755174000,.004,12.890177000,993.000,1839.649351000,3032.000
826.000,8.755174000,.003,12.890177000,942.000,1789.648351000,2944.000
797.000,8.755174000,.003,12.890177000,957.000,1775.648351000,2928.000
827.000,8.755174000,.003,12.890177000,1038.000,1886.648351000,3031.000
832.000,8.755174000,.002,12.890177000,990.000,1843.647351000,3001.000
822.000,8.755174000,.002,12.890177000,944.000,1787.647351000,2970.000
822.000,8.755174000,.002,12.890177000,960.000,1803.647351000,2977.000
821.000,8.755174000,.003,12.890177000,997.000,1839.648351000,3019.000
832.000,8.755174000,.003,12.890177000,1004.000,1857.648351000,3027.000
839.000,8.755174000,.003,12.890177000,949.000,1809.648351000,2972.000
811.000,8.755174000,.004,12.890177000,999.000,1831.649351000,2991.000
836.000,8.755174000,.003,12.890177000,1017.000,1874.648351000,3042.000
830.000,8.755174000,.003,12.890177000,979.000,1830.648351000,3003.000
822.000,8.755174000,.003,12.890177000,956.000,1799.648351000,2970.000
831.000,8.755174000,.003,12.890177000,1003.000,1855.648351000,3032.000
831.000,8.755174000,.002,12.890177000,1002.000,1854.647351000,3038.000
820.000,8.755174000,.003,12.890177000,1015.000,1856.648351000,3031.000
809.000,8.755174000,.003,12.890177000,996.000,1826.648351000,2994.000
825.000,8.755174000,.003,12.890177000,1038.000,1884.648351000,3040.000
812.000,8.755174000,.002,12.890177000,1024.000,1857.647351000,3001.000
837.000,8.755174000,.003,12.890177000,945.000,1803.648351000,2969.000
822.000,8.755174000,.003,12.890177000,1016.000,1859.648351000,3034.000
830.000,8.755174000,.003,12.890177000,996.000,1847.648351000,3035.000
825.000,8.755174000,.003,12.890177000,1018.000,1864.648351000,3028.000
810.000,8.755174000,.002,12.890177000,998.000,1829.647351000,2999.000
836.000,8.755174000,.003,12.890177000,1006.000,1863.648351000,3036.000
818.000,8.755174000,.004,12.890177000,1007.000,1846.649351000,2996.000
823.000,8.755174000,.002,12.890177000,962.000,1806.647351000,2973.000
816.000,8.755174000,.002,12.890177000,1010.000,1847.647351000,2997.000
816.000,8.755174000,.002,12.890177000,1007.000,1844.647351000,3006.000
830.000,8.755174000,.002,12.890177000,991.000,1842.647351000,2998.000
831.000,8.755174000,.002,12.890177000,997.000,1849.647351000,3005.000
854.000,8.755174000,.002,12.890177000,1.000,876.647351000,2045.000
827.000,8.755174000,.003,12.890177000,963.000,1811.648351000,2977.000
843.000,8.755174000,.002,12.890177000,1067.000,1931.647351000,3103.000
835.000,8.755174000,.003,12.890177000,970.000,1826.648351000,2994.000
845.000,8.755174000,.003,12.890177000,981.000,1847.648351000,3002.000
839.000,8.755174000,.002,12.890177000,951.000,1811.647351000,2969.000
846.000,8.755174000,.003,12.890177000,1023.000,1890.648351000,3036.000
820.000,8.755174000,.002,12.890177000,954.000,1795.647351000,2967.000
821.000,8.755174000,.003,12.890177000,1030.000,1872.648351000,3034.000
831.000,8.755174000,.004,12.890177000,947.000,1799.649351000,2943.000
834.000,8.755174000,.002,12.890177000,968.000,1823.647351000,3009.000
821.000,8.755174000,.003,12.890177000,964.000,1806.648351000,2950.000
846.000,8.755174000,.002,12.890177000,948.000,1815.647351000,2970.000
809.000,8.755174000,.002,12.890177000,1029.000,1859.647351000,3025.000
846.000,8.755174000,.002,12.890177000,944.000,1811.647351000,2968.000
804.000,8.755174000,.003,12.890177000,993.000,1818.648351000,2976.000
827.000,8.755174000,.003,12.890177000,999.000,1847.648351000,2993.000
834.000,8.755174000,.002,12.890177000,997.000,1852.647351000,3006.000
816.000,8.755174000,.002,12.890177000,1011.000,1848.647351000,3057.000
