GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
835.000,.004,941.000,1776.004,1795.000
812.000,.003,952.000,1764.003,1782.000
837.000,.003,1008.000,1845.003,1864.000
833.000,.002,994.000,1827.002,1845.000
812.000,.002,993.000,1805.002,1820.000
845.000,.002,1070.000,1915.002,1934.000
817.000,.003,1065.000,1882.003,1901.000
813.000,.001,1063.000,1876.001,1893.000
807.000,.003,942.000,1749.003,1768.000
827.000,.004,955.000,1782.004,1802.000
837.000,.003,942.000,1779.003,1796.000
827.000,.002,948.000,1775.002,1794.000
827.000,.003,951.000,1778.003,1796.000
809.000,.003,1004.000,1813.003,1830.000
826.000,.003,955.000,1781.003,1799.000
817.000,.002,1067.000,1884.002,1901.000
808.000,.005,1004.000,1812.005,1837.000
827.000,.003,1009.000,1836.003,1859.000
805.000,.002,939.000,1744.002,1761.000
830.000,.002,957.000,1787.002,1805.000
797.000,.002,1017.000,1814.002,1833.000
826.000,.002,949.000,1775.002,1793.000
831.000,.002,998.000,1829.002,1848.000
825.000,.003,1004.000,1829.003,1849.000
840.000,.003,993.000,1833.003,1854.000
807.000,.005,1016.000,1823.005,1846.000
802.000,.003,950.000,1752.003,1770.000
825.000,.003,959.000,1784.003,1801.000
832.000,.002,949.000,1781.002,1799.000
822.000,.002,931.000,1753.002,1771.000
820.000,.002,1022.000,1842.002,1860.000
817.000,.003,1004.000,1821.003,1841.000
825.000,.002,1010.000,1835.002,1851.000
827.000,.002,949.000,1776.002,1796.000
815.000,.002,970.000,1785.002,1801.000
857.000,.002,978.000,1835.002,1855.000
820.000,.002,1.000,821.002,843.000
815.000,.001,1004.000,1819.001,1838.000
819.000,.002,1021.000,1840.002,1859.000
803.000,.002,948.000,1751.002,1768.000
824.000,.002,934.000,1758.002,1778.000
831.000,.002,965.000,1796.002,1814.000
826.000,.005,962.000,1788.005,1809.000
820.000,.002,952.000,1772.002,1788.000
808.000,.003,978.000,1786.003,1804.000
840.000,.002,973.000,1813.002,1830.000
820.000,.002,932.000,1752.002,1770.000
814.000,.002,995.000,1809.002,1826.000
853.000,.003,987.000,1840.003,1859.000
819.000,.004,839.000,1658.004,1678.000
808.000,.002,1005.000,1813.002,1830.000
815.000,.002,952.000,1767.002,1784.000
803.000,.003,1021.000,1824.003,1843.000
818.000,.002,1069.000,1887.002,1905.000
811.000,.003,935.000,1746.003,1764.000
835.000,.003,942.000,1777.003,1797.000
826.000,.003,953.000,1779.003,1798.000
829.000,.001,922.000,1751.001,1769.000
828.000,.002,1019.000,1847.002,1866.000
809.000,.003,1012.000,1821.003,1839.000
832.000,.002,957.000,1789.002,1807.000
830.000,.003,942.000,1772.003,1792.000
826.000,.002,953.000,1779.002,1797.000
805.000,.002,998.000,1803.002,1823.000
839.000,.002,2.000,841.002,860.000
830.000,.002,1021.000,1851.002,1871.000
836.000,.002,988.000,1824.002,1842.000
838.000,.003,996.000,1834.003,1855.000
839.000,.002,1006.000,1845.002,1863.000
854.000,.005,1007.000,1861.005,1882.000
826.000,.002,937.000,1763.002,1783.000
810.000,.002,998.000,1808.002,1826.000
830.000,.003,958.000,1788.003,1806.000
820.000,.003,950.000,1770.003,1787.000
818.000,.003,967.000,1785.003,1806.000
830.000,.003,921.000,1751.003,1771.000
803.000,.002,982.000,1785.002,1803.000
819.000,.003,1020.000,1839.003,1860.000
812.000,.002,1068.000,1880.002,1899.000
827.000,.003,994.000,1821.003,1841.000
833.000,.002,941.000,1774.002,1793.000
821.000,.002,1022.000,1843.002,1861.000
837.000,.003,1007.000,1844.003,1863.000
822.000,.002,956.000,1778.002,1796.000
822.000,.002,938.000,1760.002,1779.000
819.000,.002,1018.000,1837.002,1857.000
834.000,.002,1005.000,1839.002,1856.000
819.000,.002,963.000,1782.002,1802.000
811.000,.003,950.000,1761.003,1780.000
830.000,.004,940.000,1770.004,1792.000
815.000,.002,1001.000,1816.002,1834.000
842.000,.003,969.000,1811.003,1830.000
799.000,.003,932.000,1731.003,1749.000
809.000,.002,994.000,1803.002,1819.000
823.000,.003,924.000,1747.003,1766.000
814.000,.002,1024.000,1838.002,1856.000
813.000,.002,975.000,1788.002,1805.000
822.000,.002,993.000,1815.002,1834.000
849.000,.002,937.000,1786.002,1805.000
827.000,.003,1005.000,1832.003,1853.000
815.000,.002,964.000,1779.002,1797.000
819.000,.004,958.000,1777.004,1796.000
817.000,.002,967.000,1784.002,1805.000
813.000,.003,964.000,1777.003,1797.000
809.000,.003,944.000,1753.003,1771.000
816.000,.002,946.000,1762.002,1780.000
828.000,.003,939.000,1767.003,1787.000
829.000,.003,964.000,1793.003,1812.000
811.000,.003,988.000,1799.003,1821.000
819.000,.002,2.000,821.002,842.000
797.000,.003,963.000,1760.003,1781.000
818.000,.003,1059.000,1877.003,1897.000
821.000,.003,953.000,1774.003,1795.000
805.000,.003,1018.000,1823.003,1843.000
806.000,.003,987.000,1793.003,1811.000
826.000,.002,969.000,1795.002,1816.000
824.000,.003,950.000,1774.003,1793.000
808.000,.002,1452.000,2260.002,2282.000
819.000,.003,1016.000,1835.003,1853.000
815.000,.002,956.000,1771.002,1790.000
810.000,.001,938.000,1748.001,1764.000
812.000,.003,1.000,813.003,835.000
834.000,.003,994.000,1828.003,1847.000
817.000,.002,1016.000,1833.002,1854.000
803.000,.002,966.000,1769.002,1786.000
830.000,.002,1061.000,1891.002,1909.000
829.000,.002,1011.000,1840.002,1861.000
817.000,.004,954.000,1771.004,1791.000
804.000,.003,958.000,1762.003,1781.000
805.000,.002,974.000,1779.002,1798.000
834.000,.003,943.000,1777.003,1796.000
821.000,.002,1012.000,1833.002,1853.000
831.000,.004,1014.000,1845.004,1865.000
806.000,.002,958.000,1764.002,1782.000
818.000,.003,1018.000,1836.003,1855.000
830.000,.003,1006.000,1836.003,1856.000
816.000,.002,1006.000,1822.002,1843.000
819.000,.002,1399.000,2218.002,2237.000
812.000,.002,1025.000,1837.002,1854.000
819.000,.003,1062.000,1881.003,1899.000
811.000,.003,961.000,1772.003,1791.000
827.000,.002,1057.000,1884.002,1904.000
819.000,.002,967.000,1786.002,1806.000
827.000,.002,993.000,1820.002,1839.000
