GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
823.000,.002,949.000,1772.002,1790.000
821.000,.002,1008.000,1829.002,1846.000
822.000,.002,950.000,1772.002,1789.000
833.000,.003,994.000,1827.003,1845.000
828.000,.002,983.000,1811.002,1827.000
807.000,.003,942.000,1749.003,1767.000
826.000,.002,1018.000,1844.002,1863.000
817.000,.002,1002.000,1819.002,1840.000
824.000,.002,975.000,1799.002,1818.000
815.000,.002,1007.000,1822.002,1839.000
811.000,.002,966.000,1777.002,1799.000
820.000,.002,1002.000,1822.002,1841.000
829.000,.005,958.000,1787.005,1807.000
821.000,.002,952.000,1773.002,1791.000
835.000,.003,946.000,1781.003,1800.000
823.000,.003,1020.000,1843.003,1864.000
831.000,.002,996.000,1827.002,1843.000
819.000,.003,1010.000,1829.003,1849.000
828.000,.002,991.000,1819.002,1838.000
816.000,.002,1023.000,1839.002,1856.000
810.000,.002,944.000,1754.002,1771.000
828.000,.002,977.000,1805.002,1824.000
839.000,.002,995.000,1834.002,1851.000
808.000,.003,1026.000,1834.003,1853.000
821.000,.003,998.000,1819.003,1839.000
828.000,.002,949.000,1777.002,1797.000
844.000,.003,939.000,1783.003,1801.000
844.000,.002,949.000,1793.002,1811.000
820.000,.002,1012.000,1832.002,1851.000
803.000,.002,1023.000,1826.002,1846.000
826.000,.002,1006.000,1832.002,1851.000
818.000,.002,1019.000,1837.002,1856.000
815.000,.002,950.000,1765.002,1782.000
833.000,.003,956.000,1789.003,1808.000
828.000,.003,943.000,1771.003,1790.000
829.000,.002,1366.000,2195.002,2212.000
796.000,.004,1.000,797.004,816.000
817.000,.003,941.000,1758.003,1776.000
825.000,.003,943.000,1768.003,1787.000
836.000,.002,949.000,1785.002,1804.000
828.000,.002,1008.000,1836.002,1854.000
837.000,.002,989.000,1826.002,1844.000
802.000,.003,981.000,1783.003,1804.000
832.000,.004,943.000,1775.004,1795.000
829.000,.005,942.000,1771.005,1793.000
811.000,.003,994.000,1805.003,1825.000
822.000,.002,956.000,1778.002,1797.000
809.000,.002,1007.000,1816.002,1836.000
843.000,.002,998.000,1841.002,1857.000
815.000,.004,952.000,1767.004,1787.000
815.000,.004,948.000,1763.004,1785.000
843.000,.002,943.000,1786.002,1804.000
818.000,.002,1021.000,1839.002,1858.000
827.000,.002,953.000,1780.002,1797.000
808.000,.002,971.000,1779.002,1798.000
832.000,.002,1006.000,1838.002,1855.000
821.000,.003,1004.000,1825.003,1850.000
808.000,.002,971.000,1779.002,1795.000
859.000,.002,1022.000,1881.002,1898.000
822.000,.002,1063.000,1885.002,1904.000
805.000,.002,970.000,1775.002,1793.000
819.000,.002,965.000,1784.002,1802.000
808.000,.002,943.000,1751.002,1769.000
817.000,.002,961.000,1778.002,1795.000
