GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
831.000,8.755174000,.002,12.890177000,974.000,1826.647351000,3003.000
834.000,8.755174000,.003,12.890177000,1017.000,1872.648351000,3008.000
843.000,8.755174000,.003,12.890177000,965.000,1829.648351000,2995.000
834.000,8.755174000,.003,12.890177000,933.000,1788.648351000,2940.000
822.000,8.755174000,.002,12.890177000,1078.000,1921.647351000,3070.000
832.000,8.755174000,.003,12.890177000,992.000,1845.648351000,3038.000
840.000,8.755174000,.003,12.890177000,950.000,1811.648351000,3008.000
838.000,8.755174000,.003,12.890177000,1001.000,1860.648351000,3017.000
824.000,8.755174000,.003,12.890177000,958.000,1803.648351000,2979.000
828.000,8.755174000,.003,12.890177000,954.000,1803.648351000,2953.000
820.000,8.755174000,.003,12.890177000,954.000,1795.648351000,2966.000
818.000,8.755174000,.003,12.890177000,1036.000,1875.648351000,3039.000
829.000,8.755174000,.003,12.890177000,949.000,1799.648351000,2963.000
832.000,8.755174000,.003,12.890177000,988.000,1841.648351000,3007.000
827.000,8.755174000,.003,12.890177000,1028.000,1876.648351000,3026.000
820.000,8.755174000,.002,12.890177000,963.000,1804.647351000,2968.000
831.000,8.755174000,.004,12.890177000,997.000,1849.649351000,3007.000
814.000,8.755174000,.003,12.890177000,1052.000,1887.648351000,3031.000
819.000,8.755174000,.003,12.890177000,1.000,841.648351000,2007.000
818.000,8.755174000,.003,12.890177000,960.000,1799.648351000,2939.000
836.000,8.755174000,.004,12.890177000,1010.000,1867.649351000,3020.000
816.000,8.755174000,.003,12.890177000,1008.000,1845.648351000,3022.000
830.000,8.755174000,.002,12.890177000,937.000,1788.647351000,2944.000
819.000,8.755174000,.002,12.890177000,971.000,1811.647351000,2963.000
819.000,8.755174000,.003,12.890177000,956.000,1796.648351000,2946.000
817.000,8.755174000,.003,12.890177000,1026.000,1864.648351000,3054.000
816.000,8.755174000,.002,12.890177000,1000.000,1837.647351000,2971.000
823.000,8.755174000,.004,12.890177000,1004.000,1848.649351000,3031.000
821.000,8.755174000,.003,12.890177000,1064.000,1906.648351000,3098.000
816.000,8.755174000,.003,12.890177000,953.000,1790.648351000,2955.000
