GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
783.000,8.755174000,.002,12.890177000,947.000,1751.647351000,2913.000
838.000,8.755174000,.003,12.890177000,997.000,1856.648351000,3023.000
812.000,8.755174000,.002,12.890177000,1004.000,1837.647351000,2995.000
819.000,8.755174000,.002,12.890177000,992.000,1832.647351000,3000.000
817.000,8.755174000,.002,12.890177000,972.000,1810.647351000,2969.000
816.000,8.755174000,.003,12.890177000,980.000,1817.648351000,2959.000
823.000,8.755174000,.003,12.890177000,944.000,1788.648351000,2940.000
826.000,8.755174000,.002,12.890177000,960.000,1807.647351000,2957.000
837.000,8.755174000,.003,12.890177000,1021.000,1879.648351000,3046.000
827.000,8.755174000,.003,12.890177000,996.000,1844.648351000,3021.000
815.000,8.755174000,.003,12.890177000,1005.000,1841.648351000,2993.000
843.000,8.755174000,.003,12.890177000,1018.000,1882.648351000,3048.000
825.000,8.755174000,.002,12.890177000,1014.000,1860.647351000,3004.000
825.000,8.755174000,.004,12.890177000,946.000,1792.649351000,2964.000
823.000,8.755174000,.002,12.890177000,1013.000,1857.647351000,3027.000
836.000,8.755174000,.003,12.890177000,949.000,1806.648351000,2968.000
824.000,8.755174000,.003,12.890177000,998.000,1843.648351000,3033.000
819.000,8.755174000,.003,12.890177000,947.000,1787.648351000,2950.000
815.000,8.755174000,.004,12.890177000,960.000,1796.649351000,2952.000
816.000,8.755174000,.003,12.890177000,1449.000,2286.648351000,3454.000
824.000,8.755174000,.002,12.890177000,988.000,1833.647351000,2990.000
806.000,8.755174000,.002,12.890177000,968.000,1795.647351000,2959.000
822.000,8.755174000,.002,12.890177000,995.000,1838.647351000,3000.000
804.000,8.755174000,.003,12.890177000,952.000,1777.648351000,2963.000
829.000,8.755174000,.003,12.890177000,983.000,1833.648351000,2979.000
817.000,8.755174000,.002,12.890177000,1062.000,1900.647351000,3059.000
807.000,8.755174000,.002,12.890177000,953.000,1781.647351000,2965.000
820.000,8.755174000,.003,12.890177000,978.000,1819.648351000,2981.000
817.000,8.755174000,.002,12.890177000,935.000,1773.647351000,2933.000
815.000,8.755174000,.003,12.890177000,1004.000,1840.648351000,3022.000
819.000,8.755174000,.003,12.890177000,997.000,1837.648351000,3000.000
824.000,8.755174000,.002,12.890177000,1082.000,1927.647351000,3103.000
821.000,8.755174000,.003,12.890177000,950.000,1792.648351000,2972.000
818.000,8.755174000,.002,12.890177000,992.000,1831.647351000,2981.000
831.000,8.755174000,.003,12.890177000,986.000,1838.648351000,3003.000
818.000,8.755174000,.004,12.890177000,1001.000,1840.649351000,3001.000
822.000,8.755174000,.003,12.890177000,1.000,844.648351000,2004.000
812.000,8.755174000,.003,12.890177000,1000.000,1833.648351000,2995.000
820.000,8.755174000,.003,12.890177000,1482.000,2323.648351000,3487.000
833.000,8.755174000,.002,12.890177000,1031.000,1885.647351000,3055.000
813.000,8.755174000,.003,12.890177000,940.000,1774.648351000,2937.000
828.000,8.755174000,.002,12.890177000,1007.000,1856.647351000,3014.000
819.000,8.755174000,.002,12.890177000,1005.000,1845.647351000,2985.000
823.000,8.755174000,.003,12.890177000,994.000,1838.648351000,3014.000
844.000,8.755174000,.004,12.890177000,1016.000,1881.649351000,3044.000
829.000,8.755174000,.004,12.890177000,958.000,1808.649351000,2949.000
823.000,8.755174000,.003,12.890177000,1003.000,1847.648351000,3000.000
818.000,8.755174000,.003,12.890177000,1052.000,1891.648351000,3053.000
819.000,8.755174000,.003,12.890177000,944.000,1784.648351000,2948.000
809.000,8.755174000,.002,12.890177000,950.000,1780.647351000,2944.000
823.000,8.755174000,.002,12.890177000,991.000,1835.647351000,2975.000
804.000,8.755174000,.003,12.890177000,1007.000,1832.648351000,2970.000
808.000,8.755174000,.003,12.890177000,980.000,1809.648351000,2961.000
825.000,8.755174000,.003,12.890177000,944.000,1790.648351000,2955.000
813.000,8.755174000,.003,12.890177000,994.000,1828.648351000,3010.000
841.000,8.755174000,.003,12.890177000,1017.000,1879.648351000,3038.000
825.000,8.755174000,.002,12.890177000,939.000,1785.647351000,2948.000
806.000,8.755174000,.003,12.890177000,937.000,1764.648351000,2936.000
783.000,8.755174000,.004,12.890177000,1023.000,1827.649351000,3020.000
821.000,8.755174000,.002,12.890177000,934.000,1776.647351000,2942.000
855.000,8.755174000,.003,12.890177000,995.000,1871.648351000,3021.000
818.000,8.755174000,.002,12.890177000,1017.000,1856.647351000,3030.000
819.000,8.755174000,.004,12.890177000,951.000,1791.649351000,2968.000
804.000,8.755174000,.003,12.890177000,984.000,1809.648351000,2974.000
815.000,8.755174000,.003,12.890177000,1.000,837.648351000,2018.000
815.000,8.755174000,.003,12.890177000,1033.000,1869.648351000,3042.000
819.000,8.755174000,.004,12.890177000,984.000,1824.649351000,3000.000
809.000,8.755174000,.003,12.890177000,1032.000,1862.648351000,3007.000
804.000,8.755174000,.002,12.890177000,973.000,1798.647351000,2936.000
808.000,8.755174000,.002,12.890177000,961.000,1790.647351000,2958.000
805.000,8.755174000,.002,12.890177000,979.000,1805.647351000,2970.000
827.000,8.755174000,.002,12.890177000,998.000,1846.647351000,3002.000
819.000,8.755174000,.002,12.890177000,998.000,1838.647351000,2999.000
812.000,8.755174000,.002,12.890177000,1014.000,1847.647351000,3030.000
809.000,8.755174000,.004,12.890177000,1010.000,1840.649351000,3002.000
822.000,8.755174000,.003,12.890177000,951.000,1794.648351000,2974.000
811.000,8.755174000,.003,12.890177000,986.000,1818.648351000,2977.000
808.000,8.755174000,.002,12.890177000,959.000,1788.647351000,2949.000
836.000,8.755174000,.003,12.890177000,999.000,1856.648351000,3041.000
838.000,8.755174000,.003,12.890177000,1026.000,1885.648351000,3055.000
826.000,8.755174000,.003,12.890177000,1013.000,1860.648351000,3058.000
842.000,8.755174000,.002,12.890177000,987.000,1850.647351000,3018.000
814.000,8.755174000,.003,12.890177000,1024.000,1859.648351000,3026.000
842.000,8.755174000,.002,12.890177000,979.000,1842.647351000,3010.000
828.000,8.755174000,.002,12.890177000,954.000,1803.647351000,2964.000
809.000,8.755174000,.004,12.890177000,1007.000,1837.649351000,3000.000
838.000,8.755174000,.003,12.890177000,949.000,1808.648351000,2998.000
811.000,8.755174000,.003,12.890177000,984.000,1816.648351000,2985.000
824.000,8.755174000,.003,12.890177000,994.000,1839.648351000,3010.000
810.000,8.755174000,.003,12.890177000,988.000,1819.648351000,2988.000
810.000,8.755174000,.002,12.890177000,989.000,1820.647351000,3007.000
815.000,8.755174000,.002,12.890177000,992.000,1828.647351000,2998.000
839.000,8.755174000,.003,12.890177000,991.000,1851.648351000,3001.000
834.000,8.755174000,.003,12.890177000,1007.000,1862.648351000,3055.000
804.000,8.755174000,.003,12.890177000,964.000,1789.648351000,2944.000
827.000,8.755174000,.003,12.890177000,1042.000,1890.648351000,3056.000
829.000,8.755174000,.003,12.890177000,968.000,1818.648351000,2992.000
812.000,8.755174000,.002,12.890177000,941.000,1774.647351000,2962.000
824.000,8.755174000,.003,12.890177000,1031.000,1876.648351000,3049.000
814.000,8.755174000,.003,12.890177000,1013.000,1848.648351000,3001.000
814.000,8.755174000,.003,12.890177000,1011.000,1846.648351000,2992.000
831.000,8.755174000,.003,12.890177000,845.000,1697.648351000,2847.000
823.000,8.755174000,.003,12.890177000,988.000,1832.648351000,2994.000
831.000,8.755174000,.002,12.890177000,999.000,1851.647351000,2998.000
816.000,8.755174000,.002,12.890177000,952.000,1789.647351000,2936.000
816.000,8.755174000,.003,12.890177000,952.000,1789.648351000,2976.000
817.000,8.755174000,.003,12.890177000,964.000,1802.648351000,2957.000
832.000,8.755174000,.002,12.890177000,960.000,1813.647351000,2943.000
847.000,8.755174000,.002,12.890177000,991.000,1859.647351000,3005.000
832.000,8.755174000,.003,12.890177000,2.000,855.648351000,2008.000
815.000,8.755174000,.002,12.890177000,1004.000,1840.647351000,3014.000
816.000,8.755174000,.003,12.890177000,1000.000,1837.648351000,2981.000
813.000,8.755174000,.003,12.890177000,993.000,1827.648351000,2985.000
828.000,8.755174000,.002,12.890177000,956.000,1805.647351000,2959.000
859.000,8.755174000,.003,12.890177000,974.000,1854.648351000,2996.000
833.000,8.755174000,.002,12.890177000,1035.000,1889.647351000,3061.000
821.000,8.755174000,.003,12.890177000,993.000,1835.648351000,2983.000
819.000,8.755174000,.002,12.890177000,1010.000,1850.647351000,3011.000
807.000,8.755174000,.003,12.890177000,1052.000,1880.648351000,3050.000
814.000,8.755174000,.002,12.890177000,956.000,1791.647351000,2940.000
825.000,8.755174000,.003,12.890177000,1005.000,1851.648351000,3024.000
825.000,8.755174000,.003,12.890177000,1.000,847.648351000,1985.000
836.000,8.755174000,.002,12.890177000,955.000,1812.647351000,2990.000
811.000,8.755174000,.003,12.890177000,956.000,1788.648351000,2925.000
847.000,8.755174000,.003,12.890177000,937.000,1805.648351000,2979.000
809.000,8.755174000,.003,12.890177000,940.000,1770.648351000,2923.000
845.000,8.755174000,.002,12.890177000,963.000,1829.647351000,3000.000
827.000,8.755174000,.003,12.890177000,961.000,1809.648351000,3001.000
816.000,8.755174000,.003,12.890177000,996.000,1833.648351000,2974.000
842.000,8.755174000,.002,12.890177000,1000.000,1863.647351000,3025.000
828.000,8.755174000,.002,12.890177000,1011.000,1860.647351000,3025.000
830.000,8.755174000,.003,12.890177000,957.000,1808.648351000,2955.000
831.000,8.755174000,.003,12.890177000,962.000,1814.648351000,2996.000
840.000,8.755174000,.003,12.890177000,1031.000,1892.648351000,3058.000
838.000,8.755174000,.003,12.890177000,990.000,1849.648351000,3049.000
829.000,8.755174000,.003,12.890177000,997.000,1847.648351000,3022.000
822.000,8.755174000,.003,12.890177000,991.000,1834.648351000,2998.000
818.000,8.755174000,.002,12.890177000,1000.000,1839.647351000,2980.000
818.000,8.755174000,.002,12.890177000,985.000,1824.647351000,2989.000
819.000,8.755174000,.002,12.890177000,1041.000,1881.647351000,3067.000
813.000,8.755174000,.003,12.890177000,960.000,1794.648351000,2947.000
833.000,8.755174000,.003,12.890177000,993.000,1847.648351000,3007.000
813.000,8.755174000,.003,12.890177000,997.000,1831.648351000,2982.000
835.000,8.755174000,.003,12.890177000,1000.000,1856.648351000,3005.000
