GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
816.000,.001,966.000,1782.001,1802.000
821.000,.003,963.000,1784.003,1802.000
818.000,.002,960.000,1778.002,1795.000
845.000,.003,1029.000,1874.003,1892.000
819.000,.002,963.000,1782.002,1800.000
818.000,.002,930.000,1748.002,1766.000
837.000,.002,924.000,1761.002,1779.000
822.000,.002,1012.000,1834.002,1858.000
809.000,.001,962.000,1771.001,1788.000
821.000,.004,965.000,1786.004,1804.000
822.000,.001,957.000,1779.001,1797.000
804.000,.004,943.000,1747.004,1766.000
828.000,.002,965.000,1793.002,1811.000
824.000,.001,1085.000,1909.001,1924.000
823.000,.002,996.000,1819.002,1836.000
799.000,.003,985.000,1784.003,1803.000
806.000,.002,983.000,1789.002,1806.000
829.000,.002,935.000,1764.002,1782.000
844.000,.002,1005.000,1849.002,1867.000
819.000,.004,1062.000,1881.004,1902.000
807.000,.001,972.000,1779.001,1796.000
823.000,.003,928.000,1751.003,1770.000
816.000,.002,947.000,1763.002,1781.000
818.000,.003,962.000,1780.003,1800.000
826.000,.002,1002.000,1828.002,1846.000
821.000,.002,1059.000,1880.002,1898.000
822.000,.002,961.000,1783.002,1801.000
828.000,.003,995.000,1823.003,1842.000
826.000,.002,1007.000,1833.002,1852.000
824.000,.004,998.000,1822.004,1842.000
821.000,.003,1012.000,1833.003,1851.000
811.000,.002,932.000,1743.002,1760.000
836.000,.003,956.000,1792.003,1810.000
800.000,.002,985.000,1785.002,1804.000
818.000,.002,936.000,1754.002,1772.000
842.000,.003,938.000,1780.003,1799.000
812.000,.003,1.000,813.003,832.000
816.000,.002,958.000,1774.002,1791.000
814.000,.004,988.000,1802.004,1825.000
827.000,.002,1004.000,1831.002,1851.000
815.000,.003,948.000,1763.003,1782.000
814.000,.004,1002.000,1816.004,1837.000
810.000,.003,1002.000,1812.003,1830.000
816.000,.003,965.000,1781.003,1799.000
848.000,.002,1034.000,1882.002,1900.000
821.000,.002,1000.000,1821.002,1839.000
858.000,.003,939.000,1797.003,1817.000
823.000,.002,960.000,1783.002,1799.000
820.000,.002,939.000,1759.002,1779.000
