GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
830.000,8.755174000,.003,12.890177000,990.000,1841.648351000,2997.000
808.000,8.755174000,.002,12.890177000,950.000,1779.647351000,2921.000
819.000,8.755174000,.003,12.890177000,1004.000,1844.648351000,3008.000
826.000,8.755174000,.002,12.890177000,1027.000,1874.647351000,3026.000
814.000,8.755174000,.002,12.890177000,950.000,1785.647351000,2952.000
830.000,8.755174000,.003,12.890177000,953.000,1804.648351000,2997.000
842.000,8.755174000,.003,12.890177000,987.000,1850.648351000,2995.000
812.000,8.755174000,.003,12.890177000,943.000,1776.648351000,2924.000
811.000,8.755174000,.002,12.890177000,975.000,1807.647351000,2969.000
829.000,8.755174000,.003,12.890177000,969.000,1819.648351000,2967.000
818.000,8.755174000,.002,12.890177000,1001.000,1840.647351000,2995.000
863.000,8.755174000,.003,12.890177000,1008.000,1892.648351000,3045.000
814.000,8.755174000,.003,12.890177000,1001.000,1836.648351000,2999.000
816.000,8.755174000,.002,12.890177000,939.000,1776.647351000,2914.000
842.000,8.755174000,.003,12.890177000,1020.000,1883.648351000,3050.000
835.000,8.755174000,.003,12.890177000,948.000,1804.648351000,2963.000
818.000,8.755174000,.004,12.890177000,993.000,1832.649351000,2977.000
827.000,8.755174000,.003,12.890177000,1013.000,1861.648351000,3025.000
814.000,8.755174000,.003,12.890177000,970.000,1805.648351000,2941.000
817.000,8.755174000,.003,12.890177000,950.000,1788.648351000,2964.000
833.000,8.755174000,.002,12.890177000,964.000,1818.647351000,2983.000
814.000,8.755174000,.003,12.890177000,991.000,1826.648351000,2988.000
797.000,8.755174000,.004,12.890177000,933.000,1751.649351000,2901.000
828.000,8.755174000,.003,12.890177000,1000.000,1849.648351000,3002.000
811.000,8.755174000,.003,12.890177000,977.000,1809.648351000,2959.000
835.000,8.755174000,.003,12.890177000,934.000,1790.648351000,2942.000
814.000,8.755174000,.004,12.890177000,1016.000,1851.649351000,3012.000
828.000,8.755174000,.003,12.890177000,985.000,1834.648351000,3003.000
820.000,8.755174000,.003,12.890177000,996.000,1837.648351000,2999.000
804.000,8.755174000,.004,12.890177000,1025.000,1850.649351000,3045.000
822.000,8.755174000,.003,12.890177000,940.000,1783.648351000,2959.000
812.000,8.755174000,.003,12.890177000,1028.000,1861.648351000,3044.000
834.000,8.755174000,.003,12.890177000,966.000,1821.648351000,3003.000
819.000,8.755174000,.002,12.890177000,946.000,1786.647351000,2935.000
811.000,8.755174000,.003,12.890177000,934.000,1766.648351000,2930.000
815.000,8.755174000,.003,12.890177000,1004.000,1840.648351000,3004.000
835.000,8.755174000,.002,12.890177000,2.000,858.647351000,2009.000
804.000,8.755174000,.003,12.890177000,989.000,1814.648351000,2979.000
825.000,8.755174000,.002,12.890177000,998.000,1844.647351000,3006.000
808.000,8.755174000,.003,12.890177000,1021.000,1850.648351000,3033.000
815.000,8.755174000,.002,12.890177000,949.000,1785.647351000,2943.000
823.000,8.755174000,.003,12.890177000,993.000,1837.648351000,3007.000
809.000,8.755174000,.003,12.890177000,924.000,1754.648351000,2898.000
815.000,8.755174000,.002,12.890177000,934.000,1770.647351000,2917.000
827.000,8.755174000,.002,12.890177000,1009.000,1857.647351000,3036.000
810.000,8.755174000,.002,12.890177000,1014.000,1845.647351000,3001.000
