GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
833.000,.002,955.000,1788.002,1807.000
821.000,.002,1007.000,1828.002,1846.000
818.000,.002,939.000,1757.002,1776.000
818.000,.002,958.000,1776.002,1794.000
819.000,.003,941.000,1760.003,1778.000
823.000,.003,1017.000,1840.003,1858.000
829.000,.002,989.000,1818.002,1839.000
804.000,.002,992.000,1796.002,1814.000
847.000,.002,969.000,1816.002,1835.000
814.000,.003,965.000,1779.003,1798.000
813.000,.002,942.000,1755.002,1774.000
841.000,.003,1075.000,1916.003,1934.000
835.000,.002,984.000,1819.002,1836.000
831.000,.003,955.000,1786.003,1804.000
800.000,.003,1028.000,1828.003,1846.000
814.000,.002,1004.000,1818.002,1836.000
815.000,.002,1025.000,1840.002,1858.000
837.000,.002,955.000,1792.002,1813.000
817.000,.002,1015.000,1832.002,1848.000
829.000,.003,962.000,1791.003,1809.000
820.000,.003,943.000,1763.003,1782.000
831.000,.002,952.000,1783.002,1801.000
814.000,.003,1013.000,1827.003,1846.000
836.000,.002,1052.000,1888.002,1906.000
834.000,.002,986.000,1820.002,1840.000
842.000,.003,938.000,1780.003,1800.000
812.000,.002,1018.000,1830.002,1850.000
819.000,.002,1004.000,1823.002,1840.000
797.000,.002,999.000,1796.002,1814.000
807.000,.004,1007.000,1814.004,1837.000
825.000,.005,1063.000,1888.005,1909.000
812.000,.002,967.000,1779.002,1797.000
818.000,.003,1002.000,1820.003,1838.000
823.000,.002,1012.000,1835.002,1858.000
820.000,.002,1063.000,1883.002,1905.000
830.000,.003,1014.000,1844.003,1862.000
822.000,.002,1.000,823.002,841.000
822.000,.002,993.000,1815.002,1833.000
831.000,.002,971.000,1802.002,1819.000
849.000,.006,1001.000,1850.006,1873.000
813.000,.002,980.000,1793.002,1811.000
815.000,.003,998.000,1813.003,1839.000
816.000,.002,1010.000,1826.002,1843.000
830.000,.003,950.000,1780.003,1799.000
828.000,.002,967.000,1795.002,1813.000
845.000,.003,980.000,1825.003,1844.000
828.000,.002,1056.000,1884.002,1902.000
821.000,.003,1059.000,1880.003,1899.000
828.000,.002,994.000,1822.002,1838.000
835.000,.003,965.000,1800.003,1820.000
838.000,.003,975.000,1813.003,1833.000
819.000,.002,1072.000,1891.002,1907.000
812.000,.003,959.000,1771.003,1795.000
833.000,.003,997.000,1830.003,1851.000
830.000,.002,948.000,1778.002,1795.000
847.000,.002,930.000,1777.002,1793.000
816.000,.002,1016.000,1832.002,1851.000
822.000,.002,967.000,1789.002,1806.000
866.000,.002,1008.000,1874.002,1894.000
831.000,.002,894.000,1725.002,1744.000
821.000,.005,1015.000,1836.005,1861.000
817.000,.003,1007.000,1824.003,1843.000
827.000,.002,1002.000,1829.002,1847.000
821.000,.002,1001.000,1822.002,1839.000
833.000,.002,2.000,835.002,851.000
822.000,.003,996.000,1818.003,1841.000
820.000,.002,1012.000,1832.002,1863.000
819.000,.003,995.000,1814.003,1835.000
826.000,.002,1007.000,1833.002,1854.000
