GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
800.000,.003,1003.000,1803.003,1822.000
805.000,.002,952.000,1757.002,1775.000
821.000,.002,1011.000,1832.002,1851.000
822.000,.002,965.000,1787.002,1805.000
823.000,.003,995.000,1818.003,1837.000
811.000,.002,998.000,1809.002,1830.000
811.000,.005,935.000,1746.005,1767.000
807.000,.002,998.000,1805.002,1821.000
820.000,.003,939.000,1759.003,1778.000
814.000,.003,997.000,1811.003,1829.000
826.000,.002,948.000,1774.002,1792.000
811.000,.002,956.000,1767.002,1784.000
827.000,.002,947.000,1774.002,1791.000
844.000,.002,999.000,1843.002,1862.000
831.000,.002,995.000,1826.002,1845.000
835.000,.003,957.000,1792.003,1810.000
818.000,.005,934.000,1752.005,1776.000
823.000,.002,1012.000,1835.002,1855.000
827.000,.002,1062.000,1889.002,1906.000
833.000,.002,997.000,1830.002,1847.000
824.000,.005,1013.000,1837.005,1857.000
811.000,.005,1002.000,1813.005,1834.000
838.000,.002,949.000,1787.002,1805.000
834.000,.002,942.000,1776.002,1795.000
810.000,.002,962.000,1772.002,1791.000
811.000,.002,1001.000,1812.002,1831.000
812.000,.002,966.000,1778.002,1793.000
818.000,.003,939.000,1757.003,1773.000
835.000,.004,947.000,1782.004,1801.000
805.000,.002,999.000,1804.002,1821.000
825.000,.003,941.000,1766.003,1785.000
831.000,.003,948.000,1779.003,1796.000
812.000,.003,1016.000,1828.003,1848.000
829.000,.001,1054.000,1883.001,1899.000
821.000,.003,958.000,1779.003,1798.000
813.000,.002,999.000,1812.002,1834.000
808.000,.002,2.000,810.002,827.000
843.000,.003,966.000,1809.003,1829.000
821.000,.002,958.000,1779.002,1796.000
829.000,.003,1059.000,1888.003,1907.000
818.000,.002,1060.000,1878.002,1897.000
810.000,.003,941.000,1751.003,1769.000
805.000,.003,1001.000,1806.003,1825.000
817.000,.003,1007.000,1824.003,1842.000
816.000,.002,1021.000,1837.002,1855.000
806.000,.003,1073.000,1879.003,1899.000
813.000,.004,1008.000,1821.004,1839.000
822.000,.003,962.000,1784.003,1803.000
810.000,.002,1019.000,1829.002,1849.000
824.000,.003,1004.000,1828.003,1848.000
841.000,.003,934.000,1775.003,1794.000
830.000,.002,950.000,1780.002,1801.000
818.000,.002,960.000,1778.002,1796.000
820.000,.002,963.000,1783.002,1801.000
814.000,.002,1022.000,1836.002,1853.000
