GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
834.000,.002,960.000,1794.002,1812.000
811.000,.003,970.000,1781.003,1799.000
817.000,.002,969.000,1786.002,1803.000
831.000,.004,996.000,1827.004,1846.000
827.000,.002,999.000,1826.002,1845.000
806.000,.002,931.000,1737.002,1755.000
829.000,.002,952.000,1781.002,1800.000
855.000,.002,943.000,1798.002,1817.000
818.000,.002,931.000,1749.002,1767.000
832.000,.002,1010.000,1842.002,1860.000
803.000,.003,948.000,1751.003,1769.000
811.000,.004,934.000,1745.004,1763.000
819.000,.002,995.000,1814.002,1832.000
836.000,.002,917.000,1753.002,1771.000
796.000,.002,1046.000,1842.002,1861.000
817.000,.002,963.000,1780.002,1800.000
813.000,.003,930.000,1743.003,1762.000
810.000,.002,950.000,1760.002,1778.000
817.000,.003,1020.000,1837.003,1856.000
820.000,.002,958.000,1778.002,1797.000
828.000,.003,1059.000,1887.003,1905.000
830.000,.004,984.000,1814.004,1834.000
810.000,.002,1032.000,1842.002,1859.000
815.000,.002,1067.000,1882.002,1901.000
834.000,.004,989.000,1823.004,1842.000
834.000,.005,938.000,1772.005,1792.000
815.000,.002,978.000,1793.002,1810.000
830.000,.002,1006.000,1836.002,1854.000
822.000,.003,1056.000,1878.003,1897.000
815.000,.005,968.000,1783.005,1804.000
808.000,.002,960.000,1768.002,1788.000
825.000,.002,1008.000,1833.002,1850.000
814.000,.002,1017.000,1831.002,1847.000
804.000,.003,930.000,1734.003,1754.000
828.000,.002,1003.000,1831.002,1851.000
829.000,.002,981.000,1810.002,1827.000
811.000,.004,1.000,812.004,834.000
813.000,.002,948.000,1761.002,1779.000
803.000,.002,1030.000,1833.002,1850.000
829.000,.002,989.000,1818.002,1835.000
829.000,.002,958.000,1787.002,1805.000
833.000,.003,942.000,1775.003,1794.000
805.000,.004,987.000,1792.004,1811.000
812.000,.002,1022.000,1834.002,1851.000
811.000,.002,960.000,1771.002,1791.000
807.000,.003,978.000,1785.003,1803.000
815.000,.002,966.000,1781.002,1801.000
823.000,.002,958.000,1781.002,1799.000
822.000,.002,963.000,1785.002,1805.000
798.000,.002,940.000,1738.002,1755.000
837.000,.003,933.000,1770.003,1787.000
838.000,.003,936.000,1774.003,1791.000
818.000,.003,1029.000,1847.003,1864.000
832.000,.002,991.000,1823.002,1842.000
806.000,.003,978.000,1784.003,1802.000
814.000,.002,1019.000,1833.002,1850.000
837.000,.002,941.000,1778.002,1797.000
827.000,.002,998.000,1825.002,1846.000
823.000,.003,957.000,1780.003,1797.000
805.000,.002,984.000,1789.002,1808.000
826.000,.003,1004.000,1830.003,1847.000
818.000,.003,1062.000,1880.003,1900.000
818.000,.002,959.000,1777.002,1798.000
818.000,.002,1000.000,1818.002,1836.000
818.000,.003,1.000,819.003,840.000
829.000,.003,964.000,1793.003,1812.000
834.000,.002,1053.000,1887.002,1904.000
824.000,.003,914.000,1738.003,1756.000
826.000,.004,952.000,1778.004,1799.000
819.000,.002,996.000,1815.002,1833.000
807.000,.005,1007.000,1814.005,1836.000
821.000,.002,1016.000,1837.002,1856.000
826.000,.002,924.000,1750.002,1769.000
847.000,.002,969.000,1816.002,1834.000
807.000,.002,976.000,1783.002,1801.000
805.000,.002,945.000,1750.002,1765.000
855.000,.002,960.000,1815.002,1834.000
829.000,.002,988.000,1817.002,1835.000
818.000,.002,972.000,1790.002,1807.000
811.000,.002,1021.000,1832.002,1851.000
803.000,.002,940.000,1743.002,1764.000
807.000,.002,972.000,1779.002,1799.000
821.000,.003,940.000,1761.003,1780.000
822.000,.002,1005.000,1827.002,1846.000
825.000,.002,996.000,1821.002,1840.000
796.000,.002,997.000,1793.002,1814.000
805.000,.003,985.000,1790.003,1806.000
826.000,.004,955.000,1781.004,1802.000
804.000,.002,1009.000,1813.002,1832.000
792.000,.003,936.000,1728.003,1748.000
816.000,.002,975.000,1791.002,1808.000
807.000,.002,962.000,1769.002,1785.000
811.000,.003,979.000,1790.003,1807.000
836.000,.002,987.000,1823.002,1843.000
836.000,.003,1019.000,1855.003,1875.000
833.000,.002,944.000,1777.002,1795.000
807.000,.003,938.000,1745.003,1766.000
829.000,.002,1017.000,1846.002,1864.000
867.000,.003,1006.000,1873.003,1890.000
816.000,.003,1074.000,1890.003,1910.000
823.000,.002,1056.000,1879.002,1898.000
816.000,.002,933.000,1749.002,1766.000
824.000,.002,958.000,1782.002,1803.000
815.000,.002,935.000,1750.002,1767.000
829.000,.002,1004.000,1833.002,1850.000
824.000,.003,964.000,1788.003,1808.000
808.000,.002,970.000,1778.002,1796.000
807.000,.003,929.000,1736.003,1754.000
816.000,.002,1016.000,1832.002,1852.000
832.000,.003,1.000,833.003,853.000
814.000,.003,954.000,1768.003,1787.000
806.000,.003,975.000,1781.003,1800.000
808.000,.002,1018.000,1826.002,1844.000
814.000,.002,961.000,1775.002,1793.000
819.000,.002,929.000,1748.002,1766.000
833.000,.005,932.000,1765.005,1786.000
813.000,.003,1012.000,1825.003,1842.000
813.000,.003,939.000,1752.003,1769.000
831.000,.002,926.000,1757.002,1777.000
818.000,.003,983.000,1801.003,1819.000
821.000,.005,999.000,1820.005,1841.000
819.000,.003,1.000,820.003,841.000
793.000,.002,989.000,1782.002,1800.000
806.000,.002,1022.000,1828.002,1845.000
821.000,.003,1058.000,1879.003,1900.000
811.000,.003,969.000,1780.003,1799.000
812.000,.004,1028.000,1840.004,1860.000
830.000,.002,992.000,1822.002,1840.000
816.000,.003,996.000,1812.003,1832.000
822.000,.002,993.000,1815.002,1835.000
818.000,.002,955.000,1773.002,1792.000
844.000,.002,971.000,1815.002,1832.000
802.000,.003,976.000,1778.003,1797.000
818.000,.004,1014.000,1832.004,1852.000
851.000,.002,979.000,1830.002,1846.000
805.000,.004,923.000,1728.004,1748.000
824.000,.002,1003.000,1827.002,1846.000
831.000,.003,953.000,1784.003,1801.000
837.000,.004,989.000,1826.004,1846.000
824.000,.002,976.000,1800.002,1819.000
820.000,.003,963.000,1783.003,1807.000
836.000,.002,970.000,1806.002,1823.000
816.000,.003,1012.000,1828.003,1846.000
825.000,.003,976.000,1801.003,1820.000
