GazeboRead,ReadFile,GazeboPublish,SumLatency,StepRuntime
819.000,.002,996.000,1815.002,1830.000
833.000,.002,945.000,1778.002,1796.000
828.000,.002,988.000,1816.002,1833.000
813.000,.002,972.000,1785.002,1802.000
814.000,.002,1069.000,1883.002,1900.000
800.000,.003,1081.000,1881.003,1900.000
835.000,.002,992.000,1827.002,1848.000
811.000,.001,978.000,1789.001,1807.000
823.000,.002,962.000,1785.002,1803.000
799.000,.003,984.000,1783.003,1803.000
814.000,.002,936.000,1750.002,1768.000
835.000,.003,1007.000,1842.003,1860.000
823.000,.003,1003.000,1826.003,1843.000
802.000,.003,1026.000,1828.003,1853.000
820.000,.002,1002.000,1822.002,1840.000
835.000,.003,1010.000,1845.003,1865.000
837.000,.003,995.000,1832.003,1852.000
823.000,.003,1003.000,1826.003,1845.000
820.000,.003,959.000,1779.003,1797.000
808.000,.002,940.000,1748.002,1768.000
832.000,.002,942.000,1774.002,1794.000
817.000,.002,966.000,1783.002,1800.000
814.000,.003,938.000,1752.003,1771.000
812.000,.002,1027.000,1839.002,1857.000
826.000,.005,984.000,1810.005,1830.000
823.000,.003,992.000,1815.003,1834.000
827.000,.004,935.000,1762.004,1783.000
810.000,.003,1018.000,1828.003,1847.000
818.000,.002,1017.000,1835.002,1855.000
821.000,.002,950.000,1771.002,1789.000
835.000,.002,937.000,1772.002,1789.000
828.000,.003,1013.000,1841.003,1864.000
833.000,.003,1003.000,1836.003,1854.000
823.000,.003,950.000,1773.003,1795.000
825.000,.002,1004.000,1829.002,1846.000
819.000,.002,1066.000,1885.002,1902.000
821.000,.002,1.000,822.002,841.000
822.000,.005,1011.000,1833.005,1855.000
807.000,.002,1068.000,1875.002,1895.000
844.000,.002,1029.000,1873.002,1891.000
827.000,.002,1000.000,1827.002,1843.000
822.000,.002,987.000,1809.002,1826.000
829.000,.003,989.000,1818.003,1838.000
839.000,.002,989.000,1828.002,1849.000
808.000,.003,1023.000,1831.003,1848.000
815.000,.004,937.000,1752.004,1771.000
830.000,.002,943.000,1773.002,1791.000
802.000,.002,1006.000,1808.002,1828.000
819.000,.003,963.000,1782.003,1801.000
827.000,.002,993.000,1820.002,1836.000
825.000,.003,1026.000,1851.003,1869.000
830.000,.005,1006.000,1836.005,1856.000
811.000,.004,975.000,1786.004,1805.000
826.000,.005,930.000,1756.005,1778.000
816.000,.002,1016.000,1832.002,1850.000
824.000,.002,994.000,1818.002,1837.000
812.000,.002,988.000,1800.002,1818.000
823.000,.002,942.000,1765.002,1781.000
815.000,.002,1021.000,1836.002,1852.000
817.000,.002,942.000,1759.002,1778.000
